Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,home_rest_days_fixed,away_rest_days_fixed,rest_days_diff_fixed,home_matches_7days,away_matches_7days,home_form_3_fixed,away_form_3_fixed,form_diff_3_fixed,home_non_epl_load_7days_fixed,away_non_epl_load_7days_fixed,load_diff_7days_fixed,home_shot_accuracy,away_shot_accuracy
2015-08-23,Watford,Southampton,0,0,D,0,0,D,A Marriner,13,14,0,5,10,11,5,2,0,2,0,0,2015-2016,8,3,5,0,1,1.0,0.3333333333333333,0.6666666666666667,0,1,-1,0.0,0.3333333333333333
2015-08-23,West Brom,Chelsea,2,3,A,1,3,A,M Clattenburg,15,15,6,5,9,12,8,7,2,1,0,1,2015-2016,8,7,1,0,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,1,-1,0.375,0.3125
2015-08-24,Arsenal,Liverpool,0,0,D,0,0,D,M Oliver,19,15,5,8,2,13,7,8,1,4,0,0,2015-2016,8,7,1,0,2,2.0,3.0,-1.0,0,1,-1,0.25,0.5
2015-08-29,Aston Villa,Sunderland,2,2,D,2,1,H,R Madley,21,7,6,3,10,14,5,4,2,1,0,0,2015-2016,4,4,0,3,3,1.0,1.6666666666666667,-0.6666666666666667,2,2,0,0.2727272727272727,0.375
2015-08-29,Bournemouth,Leicester,1,1,D,1,0,H,N Swarbrick,5,4,2,2,9,19,4,4,2,4,0,0,2015-2016,4,4,0,3,3,3.0,1.6666666666666667,1.3333333333333333,2,2,0,0.3333333333333333,0.4
2015-08-29,Chelsea,Crystal Palace,1,2,A,0,0,D,C Pawson,26,13,9,6,9,15,7,7,1,1,0,0,2015-2016,6,4,2,2,3,2.0,3.0,-1.0,1,2,-1,0.3333333333333333,0.42857142857142855
2015-08-29,Liverpool,West Ham,0,3,A,0,2,A,K Friend,13,12,1,5,17,11,5,7,3,1,1,1,2015-2016,5,7,-2,2,2,1.6666666666666667,0.0,1.6666666666666667,1,1,0,0.07142857142857142,0.38461538461538464
2015-08-29,Man City,Watford,2,0,H,0,0,D,M Clattenburg,18,7,5,0,9,12,9,3,1,2,0,0,2015-2016,6,4,2,2,3,3.0,0.6666666666666666,2.3333333333333335,1,2,-1,0.2631578947368421,0.0
2015-08-29,Newcastle,Arsenal,0,1,A,0,0,D,A Marriner,1,22,0,9,15,8,0,9,6,1,1,0,2015-2016,4,5,-1,3,2,1.6666666666666667,1.6666666666666667,0.0,2,1,1,0.0,0.391304347826087
2015-08-29,Stoke,West Brom,0,1,A,0,1,A,M Oliver,13,15,5,5,4,9,6,5,1,4,2,0,2015-2016,4,4,0,3,3,1.6666666666666667,1.0,0.6666666666666667,2,2,0,0.35714285714285715,0.3125
2015-08-29,Tottenham,Everton,0,0,D,0,0,D,M Jones,20,8,6,3,20,9,6,2,4,1,0,0,2015-2016,7,3,4,2,3,1.0,1.0,0.0,1,2,-1,0.2857142857142857,0.3333333333333333
2015-08-30,Southampton,Norwich,3,0,H,1,0,H,J Moss,23,6,8,1,4,12,6,4,0,0,0,1,2015-2016,3,5,-2,3,1,0.6666666666666666,1.6666666666666667,-1.0,2,1,1,0.3333333333333333,0.14285714285714285
2015-08-30,Swansea,Man United,2,1,H,0,0,D,M Atkinson,9,11,4,4,6,15,0,1,2,2,0,0,2015-2016,5,4,1,1,1,1.6666666666666667,1.6666666666666667,0.0,1,1,0,0.4,0.3333333333333333
2015-09-12,Arsenal,Stoke,2,0,H,1,0,H,J Moss,29,9,12,4,6,13,13,1,1,1,0,0,2015-2016,14,14,0,0,0,2.3333333333333335,1.0,1.3333333333333335,0,0,0,0.4,0.4
2015-09-12,Crystal Palace,Man City,0,1,A,0,0,D,M Jones,10,21,2,7,13,13,4,4,2,3,0,0,2015-2016,14,14,0,0,0,3.0,3.0,0.0,0,0,0,0.18181818181818182,0.3181818181818182
2015-09-12,Everton,Chelsea,3,1,H,2,1,H,A Marriner,14,15,9,2,12,12,7,14,2,2,0,0,2015-2016,14,14,0,0,0,1.6666666666666667,1.0,0.6666666666666667,0,0,0,0.6,0.125
2015-09-12,Man United,Liverpool,3,1,H,0,0,D,M Oliver,9,8,3,4,6,11,4,4,1,2,0,0,2015-2016,13,14,-1,0,0,1.0,0.3333333333333333,0.6666666666666667,0,0,0,0.3,0.4444444444444444
