Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,shot_pressure_ratio,cards_difference,discipline_advantage,foul_difference,home_foul_ratio,corner_difference,home_corner_ratio,home_momentum,away_momentum,momentum_difference,home_form_points,away_form_points,form_difference,home_rest_days,away_rest_days,rest_days_difference,home_team_strength,away_team_strength,strength_difference,total_fouls,total_corners
22/08/2015,Crystal Palace,Aston Villa,H,16,11,6,2,12,15,6,4,3,3,0,0,5,4,0.35294117647058826,0.16666666666666666,0.5714285714285714,0,0,-3,0.42857142857142855,2,0.5454545454545454,4.5,4.5,0.0,6.0,6.0,0.0,6.0,8.0,-2.0,0.5,0.0,0.5,27,10
22/08/2015,Leicester,Tottenham,D,13,19,2,6,7,14,2,7,1,4,0,0,-6,-4,0.14285714285714285,0.3,0.3939393939393939,-3,3,-7,0.3181818181818182,-5,0.2,4.5,2.5,2.0,6.0,4.0,2.0,7.0,7.0,0.0,1.5,-0.5,2.0,21,9
22/08/2015,Man United,Newcastle,D,20,7,8,0,15,11,11,5,2,2,0,0,13,8,0.38095238095238093,0.0,0.7142857142857143,0,0,4,0.5555555555555556,6,0.6470588235294118,4.5,3.5,1.0,6.0,4.0,2.0,8.0,7.0,1.0,1.0,-1.0,2.0,26,16
22/08/2015,Norwich,Stoke,D,21,6,7,1,16,5,9,0,4,1,0,0,15,6,0.3181818181818182,0.14285714285714285,0.75,3,-3,11,0.7272727272727273,9,0.9,4.5,2.5,2.0,6.0,4.0,2.0,7.0,7.0,0.0,0.0,-0.5,0.5,21,9
22/08/2015,Sunderland,Swansea,D,10,20,2,9,16,9,3,4,4,2,0,0,-10,-7,0.18181818181818182,0.42857142857142855,0.3225806451612903,2,-2,7,0.6153846153846154,-1,0.375,4.5,3.5,1.0,6.0,4.0,2.0,7.0,7.0,0.0,-2.0,1.0,-3.0,25,7
22/08/2015,West Ham,Bournemouth,A,10,15,4,7,8,11,5,4,0,0,1,0,-5,-3,0.36363636363636365,0.4375,0.3846153846153846,2,-2,-3,0.4,1,0.5,4.5,4.5,0.0,6.0,6.0,0.0,7.0,5.0,2.0,0.5,-1.0,1.5,19,9
23/08/2015,West Brom,Chelsea,A,15,15,6,5,9,12,8,7,2,1,0,1,0,1,0.375,0.3125,0.4838709677419355,-1,1,-3,0.4090909090909091,1,0.5,2.5,3.5,-1.0,4.0,4.0,0.0,8.0,7.0,1.0,-1.5,-1.5,0.0,21,15
23/08/2015,Everton,Man City,A,10,16,1,9,5,7,8,7,0,3,0,0,-6,-8,0.09090909090909091,0.5294117647058824,0.3703703703703703,-3,3,-2,0.38461538461538464,1,0.5,3.5,4.5,-1.0,4.0,6.0,-2.0,8.0,7.0,1.0,1.5,3.0,-1.5,12,15
23/08/2015,Watford,Southampton,D,13,14,0,5,10,11,5,2,0,2,0,0,-1,-5,0.0,0.3333333333333333,0.4642857142857143,-2,2,-1,0.45454545454545453,3,0.625,1.5,3.5,-2.0,2.0,4.0,-2.0,8.0,8.0,0.0,0.0,-1.5,1.5,21,7
24/08/2015,Arsenal,Liverpool,D,19,15,5,8,2,13,7,8,1,4,0,0,4,-3,0.25,0.5,0.5428571428571428,-3,3,-11,0.125,-1,0.4375,4.5,4.5,0.0,6.0,6.0,0.0,8.0,7.0,1.0,-0.5,1.0,-1.5,15,15
29/08/2015,Aston Villa,Sunderland,D,21,7,6,3,10,14,5,4,2,1,0,0,14,3,0.2727272727272727,0.375,0.7241379310344828,1,-1,-4,0.4,1,0.5,6.0,4.0,2.0,9.0,7.0,2.0,7.0,7.0,0.0,-0.3333333333333333,-1.3333333333333333,1.0,24,9
29/08/2015,Bournemouth,Leicester,D,5,4,2,2,9,19,4,4,2,4,0,0,1,0,0.3333333333333333,0.4,0.5,-2,2,-10,0.3103448275862069,0,0.4444444444444444,6.5,4.5,2.0,9.0,7.0,2.0,7.0,7.0,0.0,-0.3333333333333333,1.0,-1.3333333333333333,28,8
29/08/2015,Chelsea,Crystal Palace,A,26,13,9,6,9,15,7,7,1,1,0,0,13,3,0.3333333333333333,0.42857142857142855,0.65,0,0,-6,0.36,0,0.4666666666666667,5.333333333333334,6.5,-1.166666666666666,7.0,9.0,-2.0,6.0,7.0,-1.0,-0.6666666666666666,0.6666666666666666,-1.3333333333333333,24,14
29/08/2015,Liverpool,West Ham,A,13,12,1,5,17,11,5,7,3,1,1,1,1,-4,0.07142857142857142,0.38461538461538464,0.5,2,-2,6,0.5862068965517241,-2,0.38461538461538464,4.5,6.0,-1.5,7.0,9.0,-2.0,5.0,7.0,-2.0,0.6666666666666666,0.0,0.6666666666666666,28,12
29/08/2015,Man City,Watford,H,18,7,5,0,9,12,9,3,1,2,0,0,11,5,0.2631578947368421,0.0,0.6923076923076923,-1,1,-3,0.4090909090909091,6,0.6923076923076923,7.0,2.5,4.5,9.0,3.0,6.0,6.0,6.0,0.0,2.6666666666666665,0.0,2.6666666666666665,21,12
29/08/2015,Newcastle,Arsenal,A,1,22,0,9,15,8,0,9,6,1,1,0,-21,-9,0.0,0.391304347826087,0.0416666666666666,7,-7,7,0.625,-9,0.0,3.3333333333333335,5.0,-1.6666666666666663,5.0,7.0,-2.0,7.0,5.0,2.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,23,9
