Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,shot_pressure_ratio,cards_difference,discipline_advantage,foul_difference,home_foul_ratio,corner_difference,home_corner_ratio,home_momentum,away_momentum,momentum_difference,home_form_points,away_form_points,form_difference,home_rest_days,away_rest_days,rest_days_difference,home_team_strength,away_team_strength,strength_difference
08/08/2015,Bournemouth,Aston Villa,A,11,7,2,3,13,13,6,3,3,4,0,0,4,-1,0.16666666666666666,0.375,0.5789473684210527,-1,1,0,0.48148148148148145,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
08/08/2015,Chelsea,Swansea,D,11,18,3,10,15,16,4,8,1,3,1,0,-7,-7,0.25,0.5263157894736842,0.36666666666666664,0,0,-1,0.46875,-4,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
08/08/2015,Everton,Watford,D,10,11,5,5,7,13,8,2,1,2,0,0,-1,0,0.45454545454545453,0.4166666666666667,0.45454545454545453,-1,1,-6,0.3333333333333333,6,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
08/08/2015,Leicester,Sunderland,H,19,10,8,5,13,17,6,3,2,4,0,0,9,3,0.4,0.45454545454545453,0.6333333333333333,-2,2,-4,0.41935483870967744,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
08/08/2015,Man United,Tottenham,H,9,9,1,4,12,12,1,2,2,3,0,0,0,-3,0.1,0.4,0.47368421052631576,-1,1,0,0.48,-1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
08/08/2015,Norwich,Crystal Palace,A,17,11,6,7,14,20,1,4,1,0,0,0,6,-1,0.3333333333333333,0.5833333333333334,0.5862068965517241,1,-1,-6,0.4,-3,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
09/08/2015,Arsenal,West Ham,A,22,8,6,4,12,9,5,4,1,3,0,0,14,2,0.2608695652173913,0.4444444444444444,0.7096774193548387,-2,2,3,0.5454545454545454,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
09/08/2015,Newcastle,Southampton,D,9,15,4,5,9,12,6,6,2,4,0,0,-6,-1,0.4,0.3125,0.36,-2,2,-3,0.4090909090909091,0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
09/08/2015,Stoke,Liverpool,A,7,8,1,3,9,16,3,5,2,4,0,0,-1,-2,0.125,0.3333333333333333,0.4375,-2,2,-7,0.34615384615384615,-2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
10/08/2015,West Brom,Man City,A,9,19,2,7,12,9,6,6,4,1,0,0,-10,-5,0.2,0.35,0.3103448275862069,3,-3,3,0.5454545454545454,0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
