Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,foul_difference,corner_difference,home_rest_days,away_rest_days,rest_days_difference,total_cards,home_cards_ratio,home_foul_ratio,Bournemouth_momentum,Chelsea_momentum,Everton_momentum,Leicester_momentum,Man United_momentum,Norwich_momentum,Arsenal_momentum,Newcastle_momentum,Stoke_momentum,West Brom_momentum,Aston Villa_momentum,West Ham_momentum,Watford_momentum,Tottenham_momentum,Swansea_momentum,Sunderland_momentum,Southampton_momentum,Crystal Palace_momentum,Man City_momentum,Liverpool_momentum,Middlesbrough_momentum,Hull_momentum,Burnley_momentum,Brighton_momentum,Huddersfield_momentum,Fulham_momentum,Wolves_momentum,Cardiff_momentum,Sheffield United_momentum,Leeds_momentum,Brentford_momentum,Nott'm Forest_momentum,Luton_momentum,Ipswich_momentum,momentum_difference
15/08/2015,West Ham,Leicester,A,10,11,3,6,11,12,8,4,1,3,1,0,-1,-3,0.2727272727272727,0.5,-1,4,6.0,7.0,-1.0,6,0.42857142857142855,0.4583333333333333,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3604844656260639
15/08/2015,Watford,West Brom,D,16,6,5,0,13,10,2,4,1,2,0,0,10,5,0.29411764705882354,0.0,3,-2,7.0,5.0,2.0,3,0.25,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007032290059652906
15/08/2015,Tottenham,Stoke,D,13,16,7,7,15,11,4,3,2,2,0,0,-3,0,0.5,0.4117647058823529,4,1,7.0,6.0,1.0,4,0.4,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4632546104878022
15/08/2015,Swansea,Newcastle,H,19,4,6,2,11,8,4,4,2,1,0,1,15,4,0.3,0.4,3,0,7.0,6.0,1.0,5,0.3333333333333333,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059251095656467384
15/08/2015,Sunderland,Norwich,A,6,19,2,6,7,7,6,6,1,2,0,0,-13,-4,0.2857142857142857,0.3,0,0,7.0,7.0,0.0,3,0.25,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5506470108693213
15/08/2015,Southampton,Everton,A,17,10,4,4,11,10,9,9,4,2,0,0,7,0,0.2222222222222222,0.36363636363636365,1,0,6.0,7.0,-1.0,6,0.5714285714285714,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01500632381443032
16/08/2015,Crystal Palace,Arsenal,A,11,20,4,7,14,12,6,6,1,1,0,0,-9,-3,0.3333333333333333,0.3333333333333333,2,0,8.0,7.0,1.0,2,0.3333333333333333,0.5185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012744998087561214
16/08/2015,Man City,Chelsea,H,18,10,8,3,19,13,5,1,4,2,0,0,8,5,0.42105263157894735,0.2727272727272727,6,4,6.0,8.0,-2.0,6,0.5714285714285714,0.5757575757575758,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.309233235992274
17/08/2015,Liverpool,Bournemouth,H,18,13,2,2,11,18,6,8,1,4,0,0,5,0,0.10526315789473684,0.14285714285714285,-7,-2,8.0,9.0,-1.0,5,0.16666666666666666,0.36666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0290867035516945
22/08/2015,Crystal Palace,Aston Villa,H,16,11,6,2,12,15,6,4,3,3,0,0,5,4,0.35294117647058826,0.16666666666666666,-3,2,6.0,8.0,-2.0,6,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.111754918211431
22/08/2015,Leicester,Tottenham,D,13,19,2,6,7,14,2,7,1,4,0,0,-6,-4,0.14285714285714285,0.3,-7,-5,7.0,7.0,0.0,5,0.16666666666666666,0.3181818181818182,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2194214725395505
22/08/2015,Man United,Newcastle,D,20,7,8,0,15,11,11,5,2,2,0,0,13,8,0.38095238095238093,0.0,4,6,8.0,7.0,1.0,4,0.4,0.5555555555555556,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27313460530233236
22/08/2015,Norwich,Stoke,D,21,6,7,1,16,5,9,0,4,1,0,0,15,6,0.3181818181818182,0.14285714285714285,11,9,7.0,7.0,0.0,5,0.6666666666666666,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8596762882677706
22/08/2015,Sunderland,Swansea,D,10,20,2,9,16,9,3,4,4,2,0,0,-10,-7,0.18181818181818182,0.42857142857142855,7,-1,7.0,7.0,0.0,6,0.5714285714285714,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48869288045949083
22/08/2015,West Ham,Bournemouth,A,10,15,4,7,8,11,5,4,0,0,1,0,-5,-3,0.36363636363636365,0.4375,-3,1,7.0,5.0,2.0,2,0.6666666666666666,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42319856608695194
23/08/2015,West Brom,Chelsea,A,15,15,6,5,9,12,8,7,2,1,0,1,0,1,0.375,0.3125,-3,1,8.0,7.0,1.0,5,0.3333333333333333,0.4090909090909091,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4110777163447156
23/08/2015,Everton,Man City,A,10,16,1,9,5,7,8,7,0,3,0,0,-6,-8,0.09090909090909091,0.5294117647058824,-2,1,8.0,7.0,1.0,3,0.0,0.38461538461538464,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37714416299594594
23/08/2015,Watford,Southampton,D,13,14,0,5,10,11,5,2,0,2,0,0,-1,-5,0.0,0.3333333333333333,-1,3,8.0,8.0,0.0,2,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10466960081683023
