date,season,team,team_win
13/08/2016,2016-2017,Watford FC,Draw
20/08/2016,2016-2017,Watford FC,Chelsea FC
23/08/2016,2016-2017,Watford FC,Gillingham FC
27/08/2016,2016-2017,Watford FC,Arsenal FC
10/09/2016,2016-2017,Watford FC,Watford FC
18/09/2016,2016-2017,Watford FC,Watford FC
26/09/2016,2016-2017,Watford FC,Burnley FC
01/10/2016,2016-2017,Watford FC,Draw
16/10/2016,2016-2017,Watford FC,Watford FC
22/10/2016,2016-2017,Watford FC,Draw
29/10/2016,2016-2017,Watford FC,Watford FC
06/11/2016,2016-2017,Watford FC,Liverpool FC
19/11/2016,2016-2017,Watford FC,Watford FC
27/11/2016,2016-2017,Watford FC,Stoke City
03/12/2016,2016-2017,Watford FC,West Bromwich Albion
10/12/2016,2016-2017,Watford FC,Watford FC
14/12/2016,2016-2017,Watford FC,Manchester City
17/12/2016,2016-2017,Watford FC,Sunderland AFC
26/12/2016,2016-2017,Watford FC,Draw
01/01/2017,2016-2017,Watford FC,Tottenham Hotspur
03/01/2017,2016-2017,Watford FC,Stoke City
07/01/2017,2016-2017,Watford FC,Watford FC
14/01/2017,2016-2017,Watford FC,Draw
21/01/2017,2016-2017,Watford FC,Draw
29/01/2017,2016-2017,Watford FC,Millwall FC
31/01/2017,2016-2017,Watford FC,Watford FC
04/02/2017,2016-2017,Watford FC,Watford FC
11/02/2017,2016-2017,Watford FC,Manchester United
25/02/2017,2016-2017,Watford FC,Draw
04/03/2017,2016-2017,Watford FC,Southampton FC
18/03/2017,2016-2017,Watford FC,Crystal Palace
01/04/2017,2016-2017,Watford FC,Watford FC
04/04/2017,2016-2017,Watford FC,Watford FC
08/04/2017,2016-2017,Watford FC,Tottenham Hotspur
15/04/2017,2016-2017,Watford FC,Watford FC
22/04/2017,2016-2017,Watford FC,Hull City
01/05/2017,2016-2017,Watford FC,Liverpool FC
06/05/2017,2016-2017,Watford FC,Leicester City
12/05/2017,2016-2017,Watford FC,Everton FC
15/05/2017,2016-2017,Watford FC,Chelsea FC
21/05/2017,2016-2017,Watford FC,Manchester City
