date,season,team,team_win
13/08/2016,2016-2017,Swansea City,Swansea City
20/08/2016,2016-2017,Swansea City,Hull City
23/08/2016,2016-2017,Swansea City,Swansea City
27/08/2016,2016-2017,Swansea City,Leicester City
11/09/2016,2016-2017,Swansea City,Draw
18/09/2016,2016-2017,Swansea City,Southampton FC
21/09/2016,2016-2017,Swansea City,Manchester City
24/09/2016,2016-2017,Swansea City,Manchester City
01/10/2016,2016-2017,Swansea City,Liverpool FC
15/10/2016,2016-2017,Swansea City,Arsenal FC
22/10/2016,2016-2017,Swansea City,Draw
31/10/2016,2016-2017,Swansea City,Stoke City
06/11/2016,2016-2017,Swansea City,Manchester United
19/11/2016,2016-2017,Swansea City,Draw
26/11/2016,2016-2017,Swansea City,Swansea City
03/12/2016,2016-2017,Swansea City,Tottenham Hotspur
10/12/2016,2016-2017,Swansea City,Swansea City
14/12/2016,2016-2017,Swansea City,West Bromwich Albion
17/12/2016,2016-2017,Swansea City,Middlesbrough FC
26/12/2016,2016-2017,Swansea City,West Ham United
31/12/2016,2016-2017,Swansea City,AFC Bournemouth
03/01/2017,2016-2017,Swansea City,Swansea City
07/01/2017,2016-2017,Swansea City,Hull City
14/01/2017,2016-2017,Swansea City,Arsenal FC
21/01/2017,2016-2017,Swansea City,Swansea City
31/01/2017,2016-2017,Swansea City,Swansea City
05/02/2017,2016-2017,Swansea City,Manchester City
12/02/2017,2016-2017,Swansea City,Swansea City
25/02/2017,2016-2017,Swansea City,Chelsea FC
04/03/2017,2016-2017,Swansea City,Swansea City
11/03/2017,2016-2017,Swansea City,Hull City
18/03/2017,2016-2017,Swansea City,AFC Bournemouth
02/04/2017,2016-2017,Swansea City,Draw
05/04/2017,2016-2017,Swansea City,Tottenham Hotspur
08/04/2017,2016-2017,Swansea City,West Ham United
15/04/2017,2016-2017,Swansea City,Watford FC
22/04/2017,2016-2017,Swansea City,Swansea City
30/04/2017,2016-2017,Swansea City,Draw
06/05/2017,2016-2017,Swansea City,Swansea City
13/05/2017,2016-2017,Swansea City,Swansea City
21/05/2017,2016-2017,Swansea City,Swansea City
