date,season,team,team_win
13/08/2016,2016-2017,Crystal Palace,West Bromwich Albion
20/08/2016,2016-2017,Crystal Palace,Tottenham Hotspur
23/08/2016,2016-2017,Crystal Palace,Crystal Palace
27/08/2016,2016-2017,Crystal Palace,Draw
10/09/2016,2016-2017,Crystal Palace,Crystal Palace
18/09/2016,2016-2017,Crystal Palace,Crystal Palace
21/09/2016,2016-2017,Crystal Palace,Southampton FC
24/09/2016,2016-2017,Crystal Palace,Crystal Palace
30/09/2016,2016-2017,Crystal Palace,Draw
15/10/2016,2016-2017,Crystal Palace,West Ham United
22/10/2016,2016-2017,Crystal Palace,Leicester City
29/10/2016,2016-2017,Crystal Palace,Liverpool FC
05/11/2016,2016-2017,Crystal Palace,Burnley FC
19/11/2016,2016-2017,Crystal Palace,Manchester City
26/11/2016,2016-2017,Crystal Palace,Swansea City
03/12/2016,2016-2017,Crystal Palace,Crystal Palace
10/12/2016,2016-2017,Crystal Palace,Draw
14/12/2016,2016-2017,Crystal Palace,Manchester United
17/12/2016,2016-2017,Crystal Palace,Chelsea FC
26/12/2016,2016-2017,Crystal Palace,Draw
01/01/2017,2016-2017,Crystal Palace,Arsenal FC
03/01/2017,2016-2017,Crystal Palace,Swansea City
07/01/2017,2016-2017,Crystal Palace,Draw
14/01/2017,2016-2017,Crystal Palace,West Ham United
17/01/2017,2016-2017,Crystal Palace,Crystal Palace
21/01/2017,2016-2017,Crystal Palace,Everton FC
28/01/2017,2016-2017,Crystal Palace,Manchester City
31/01/2017,2016-2017,Crystal Palace,Crystal Palace
04/02/2017,2016-2017,Crystal Palace,Sunderland AFC
11/02/2017,2016-2017,Crystal Palace,Stoke City
25/02/2017,2016-2017,Crystal Palace,Crystal Palace
04/03/2017,2016-2017,Crystal Palace,Crystal Palace
18/03/2017,2016-2017,Crystal Palace,Crystal Palace
01/04/2017,2016-2017,Crystal Palace,Crystal Palace
05/04/2017,2016-2017,Crystal Palace,Southampton FC
10/04/2017,2016-2017,Crystal Palace,Crystal Palace
15/04/2017,2016-2017,Crystal Palace,Draw
23/04/2017,2016-2017,Crystal Palace,Crystal Palace
26/04/2017,2016-2017,Crystal Palace,Tottenham Hotspur
29/04/2017,2016-2017,Crystal Palace,Burnley FC
06/05/2017,2016-2017,Crystal Palace,Manchester City
14/05/2017,2016-2017,Crystal Palace,Crystal Palace
21/05/2017,2016-2017,Crystal Palace,Manchester United
