date,season,team,team_win
26/07/2017,2017-2018,Huddersfield Town,Udinese Calcio
01/08/2017,2017-2018,Huddersfield Town,Draw
04/08/2017,2017-2018,Huddersfield Town,Draw
12/08/2017,2017-2018,Huddersfield Town,Huddersfield Town
20/08/2017,2017-2018,Huddersfield Town,Huddersfield Town
23/08/2017,2017-2018,Huddersfield Town,Huddersfield Town
26/08/2017,2017-2018,Huddersfield Town,Draw
03/09/2017,2017-2018,Huddersfield Town,Huddersfield Town
11/09/2017,2017-2018,Huddersfield Town,West Ham United
16/09/2017,2017-2018,Huddersfield Town,Draw
19/09/2017,2017-2018,Huddersfield Town,Crystal Palace
23/09/2017,2017-2018,Huddersfield Town,Draw
30/09/2017,2017-2018,Huddersfield Town,Tottenham Hotspur
14/10/2017,2017-2018,Huddersfield Town,Swansea City
21/10/2017,2017-2018,Huddersfield Town,Huddersfield Town
28/10/2017,2017-2018,Huddersfield Town,Liverpool FC
04/11/2017,2017-2018,Huddersfield Town,Huddersfield Town
18/11/2017,2017-2018,Huddersfield Town,AFC Bournemouth
26/11/2017,2017-2018,Huddersfield Town,Manchester City
29/11/2017,2017-2018,Huddersfield Town,Arsenal FC
02/12/2017,2017-2018,Huddersfield Town,Everton FC
09/12/2017,2017-2018,Huddersfield Town,Huddersfield Town
12/12/2017,2017-2018,Huddersfield Town,Chelsea FC
16/12/2017,2017-2018,Huddersfield Town,Huddersfield Town
23/12/2017,2017-2018,Huddersfield Town,Draw
26/12/2017,2017-2018,Huddersfield Town,Draw
30/12/2017,2017-2018,Huddersfield Town,Draw
01/01/2018,2017-2018,Huddersfield Town,Leicester City
06/01/2018,2017-2018,Huddersfield Town,Huddersfield Town
13/01/2018,2017-2018,Huddersfield Town,West Ham United
20/01/2018,2017-2018,Huddersfield Town,Stoke City
27/01/2018,2017-2018,Huddersfield Town,Draw
30/01/2018,2017-2018,Huddersfield Town,Liverpool FC
03/02/2018,2017-2018,Huddersfield Town,Manchester United
06/02/2018,2017-2018,Huddersfield Town,Huddersfield Town
11/02/2018,2017-2018,Huddersfield Town,Huddersfield Town
17/02/2018,2017-2018,Huddersfield Town,Manchester United
24/02/2018,2017-2018,Huddersfield Town,Huddersfield Town
03/03/2018,2017-2018,Huddersfield Town,Tottenham Hotspur
10/03/2018,2017-2018,Huddersfield Town,Draw
17/03/2018,2017-2018,Huddersfield Town,Crystal Palace
31/03/2018,2017-2018,Huddersfield Town,Newcastle United
07/04/2018,2017-2018,Huddersfield Town,Draw
14/04/2018,2017-2018,Huddersfield Town,Huddersfield Town
28/04/2018,2017-2018,Huddersfield Town,Everton FC
06/05/2018,2017-2018,Huddersfield Town,Draw
09/05/2018,2017-2018,Huddersfield Town,Draw
13/05/2018,2017-2018,Huddersfield Town,Arsenal FC
10/07/2018,2017-2018,Huddersfield Town,Huddersfield Town
14/07/2018,2017-2018,Huddersfield Town,Accrington Stanley
18/07/2018,2017-2018,Huddersfield Town,Draw
21/07/2018,2017-2018,Huddersfield Town,Real Betis
22/07/2018,2017-2018,Huddersfield Town,Draw
25/07/2018,2017-2018,Huddersfield Town,Huddersfield Town
31/07/2018,2017-2018,Huddersfield Town,Huddersfield Town
03/08/2018,2017-2018,Huddersfield Town,Huddersfield Town
11/08/2018,2017-2018,Huddersfield Town,Chelsea FC
19/08/2018,2017-2018,Huddersfield Town,Manchester City
25/08/2018,2017-2018,Huddersfield Town,Draw
28/08/2018,2017-2018,Huddersfield Town,Stoke City
01/09/2018,2017-2018,Huddersfield Town,Draw
15/09/2018,2017-2018,Huddersfield Town,Crystal Palace
22/09/2018,2017-2018,Huddersfield Town,Leicester City
29/09/2018,2017-2018,Huddersfield Town,Tottenham Hotspur
06/10/2018,2017-2018,Huddersfield Town,Draw
20/10/2018,2017-2018,Huddersfield Town,Liverpool FC
27/10/2018,2017-2018,Huddersfield Town,Watford FC
05/11/2018,2017-2018,Huddersfield Town,Huddersfield Town
10/11/2018,2017-2018,Huddersfield Town,Draw
25/11/2018,2017-2018,Huddersfield Town,Huddersfield Town
01/12/2018,2017-2018,Huddersfield Town,Brighton & Hove Albion
04/12/2018,2017-2018,Huddersfield Town,AFC Bournemouth
08/12/2018,2017-2018,Huddersfield Town,Arsenal FC
15/12/2018,2017-2018,Huddersfield Town,Newcastle United
22/12/2018,2017-2018,Huddersfield Town,Southampton FC
26/12/2018,2017-2018,Huddersfield Town,Manchester United
