date,season,team,team_win
21/07/2017,2017-2018,Manchester City,Manchester United
27/07/2017,2017-2018,Manchester City,Manchester City
29/07/2017,2017-2018,Manchester City,Manchester City
04/08/2017,2017-2018,Manchester City,Manchester City
12/08/2017,2017-2018,Manchester City,Manchester City
15/08/2017,2017-2018,Manchester City,Girona FC
21/08/2017,2017-2018,Manchester City,Draw
26/08/2017,2017-2018,Manchester City,Manchester City
09/09/2017,2017-2018,Manchester City,Manchester City
13/09/2017,2017-2018,Manchester City,Manchester City
16/09/2017,2017-2018,Manchester City,Manchester City
20/09/2017,2017-2018,Manchester City,Manchester City
23/09/2017,2017-2018,Manchester City,Manchester City
26/09/2017,2017-2018,Manchester City,Manchester City
30/09/2017,2017-2018,Manchester City,Manchester City
14/10/2017,2017-2018,Manchester City,Manchester City
17/10/2017,2017-2018,Manchester City,Manchester City
21/10/2017,2017-2018,Manchester City,Manchester City
24/10/2017,2017-2018,Manchester City,Manchester City
28/10/2017,2017-2018,Manchester City,Manchester City
01/11/2017,2017-2018,Manchester City,Manchester City
05/11/2017,2017-2018,Manchester City,Manchester City
18/11/2017,2017-2018,Manchester City,Manchester City
21/11/2017,2017-2018,Manchester City,Manchester City
26/11/2017,2017-2018,Manchester City,Manchester City
29/11/2017,2017-2018,Manchester City,Manchester City
03/12/2017,2017-2018,Manchester City,Manchester City
06/12/2017,2017-2018,Manchester City,Shakhtar Donetsk
10/12/2017,2017-2018,Manchester City,Manchester City
13/12/2017,2017-2018,Manchester City,Manchester City
16/12/2017,2017-2018,Manchester City,Manchester City
19/12/2017,2017-2018,Manchester City,Manchester City
23/12/2017,2017-2018,Manchester City,Manchester City
27/12/2017,2017-2018,Manchester City,Manchester City
31/12/2017,2017-2018,Manchester City,Draw
02/01/2018,2017-2018,Manchester City,Manchester City
06/01/2018,2017-2018,Manchester City,Manchester City
09/01/2018,2017-2018,Manchester City,Manchester City
14/01/2018,2017-2018,Manchester City,Liverpool FC
20/01/2018,2017-2018,Manchester City,Manchester City
23/01/2018,2017-2018,Manchester City,Manchester City
28/01/2018,2017-2018,Manchester City,Manchester City
31/01/2018,2017-2018,Manchester City,Manchester City
03/02/2018,2017-2018,Manchester City,Draw
10/02/2018,2017-2018,Manchester City,Manchester City
13/02/2018,2017-2018,Manchester City,Manchester City
19/02/2018,2017-2018,Manchester City,Wigan Athletic
25/02/2018,2017-2018,Manchester City,Manchester City
01/03/2018,2017-2018,Manchester City,Manchester City
04/03/2018,2017-2018,Manchester City,Manchester City
07/03/2018,2017-2018,Manchester City,FC Basel 1893
12/03/2018,2017-2018,Manchester City,Manchester City
31/03/2018,2017-2018,Manchester City,Manchester City
04/04/2018,2017-2018,Manchester City,Liverpool FC
07/04/2018,2017-2018,Manchester City,Manchester United
10/04/2018,2017-2018,Manchester City,Liverpool FC
14/04/2018,2017-2018,Manchester City,Manchester City
22/04/2018,2017-2018,Manchester City,Manchester City
29/04/2018,2017-2018,Manchester City,Manchester City
06/05/2018,2017-2018,Manchester City,Draw
09/05/2018,2017-2018,Manchester City,Manchester City
13/05/2018,2017-2018,Manchester City,Manchester City
