date,season,team,team_win
15/07/2017,2017-2018,Stoke City,AS Monaco
22/07/2017,2017-2018,Stoke City,Stoke City
25/07/2017,2017-2018,Stoke City,Sheffield United
29/07/2017,2017-2018,Stoke City,Stoke City
01/08/2017,2017-2018,Stoke City,FC St. Pauli
05/08/2017,2017-2018,Stoke City,Stoke City
12/08/2017,2017-2018,Stoke City,Everton FC
19/08/2017,2017-2018,Stoke City,Stoke City
23/08/2017,2017-2018,Stoke City,Stoke City
27/08/2017,2017-2018,Stoke City,Draw
09/09/2017,2017-2018,Stoke City,Draw
16/09/2017,2017-2018,Stoke City,Newcastle United
19/09/2017,2017-2018,Stoke City,Bristol City
23/09/2017,2017-2018,Stoke City,Chelsea FC
30/09/2017,2017-2018,Stoke City,Stoke City
14/10/2017,2017-2018,Stoke City,Manchester City
21/10/2017,2017-2018,Stoke City,AFC Bournemouth
28/10/2017,2017-2018,Stoke City,Stoke City
04/11/2017,2017-2018,Stoke City,Draw
20/11/2017,2017-2018,Stoke City,Draw
25/11/2017,2017-2018,Stoke City,Crystal Palace
29/11/2017,2017-2018,Stoke City,Liverpool FC
02/12/2017,2017-2018,Stoke City,Stoke City
09/12/2017,2017-2018,Stoke City,Tottenham Hotspur
12/12/2017,2017-2018,Stoke City,Burnley FC
16/12/2017,2017-2018,Stoke City,West Ham United
23/12/2017,2017-2018,Stoke City,Stoke City
26/12/2017,2017-2018,Stoke City,Draw
30/12/2017,2017-2018,Stoke City,Chelsea FC
01/01/2018,2017-2018,Stoke City,Newcastle United
06/01/2018,2017-2018,Stoke City,Coventry City
15/01/2018,2017-2018,Stoke City,Manchester United
20/01/2018,2017-2018,Stoke City,Stoke City
31/01/2018,2017-2018,Stoke City,Draw
03/02/2018,2017-2018,Stoke City,AFC Bournemouth
10/02/2018,2017-2018,Stoke City,Draw
24/02/2018,2017-2018,Stoke City,Draw
03/03/2018,2017-2018,Stoke City,Draw
12/03/2018,2017-2018,Stoke City,Manchester City
17/03/2018,2017-2018,Stoke City,Everton FC
01/04/2018,2017-2018,Stoke City,Arsenal FC
07/04/2018,2017-2018,Stoke City,Tottenham Hotspur
16/04/2018,2017-2018,Stoke City,Draw
22/04/2018,2017-2018,Stoke City,Draw
28/04/2018,2017-2018,Stoke City,Draw
05/05/2018,2017-2018,Stoke City,Crystal Palace
13/05/2018,2017-2018,Stoke City,Stoke City
