date,season,team,team_win
19/07/2017,2017-2018,Everton FC,Everton FC
22/07/2017,2017-2018,Everton FC,Draw
27/07/2017,2017-2018,Everton FC,Everton FC
03/08/2017,2017-2018,Everton FC,Everton FC
06/08/2017,2017-2018,Everton FC,Draw
12/08/2017,2017-2018,Everton FC,Everton FC
17/08/2017,2017-2018,Everton FC,Everton FC
21/08/2017,2017-2018,Everton FC,Draw
24/08/2017,2017-2018,Everton FC,Draw
27/08/2017,2017-2018,Everton FC,Chelsea FC
09/09/2017,2017-2018,Everton FC,Tottenham Hotspur
14/09/2017,2017-2018,Everton FC,Atalanta
17/09/2017,2017-2018,Everton FC,Manchester United
20/09/2017,2017-2018,Everton FC,Everton FC
23/09/2017,2017-2018,Everton FC,Everton FC
28/09/2017,2017-2018,Everton FC,Draw
01/10/2017,2017-2018,Everton FC,Burnley FC
15/10/2017,2017-2018,Everton FC,Draw
19/10/2017,2017-2018,Everton FC,Olympique Lyonnais
22/10/2017,2017-2018,Everton FC,Arsenal FC
25/10/2017,2017-2018,Everton FC,Chelsea FC
29/10/2017,2017-2018,Everton FC,Leicester City
02/11/2017,2017-2018,Everton FC,Olympique Lyonnais
05/11/2017,2017-2018,Everton FC,Everton FC
18/11/2017,2017-2018,Everton FC,Draw
23/11/2017,2017-2018,Everton FC,Atalanta
26/11/2017,2017-2018,Everton FC,Southampton FC
29/11/2017,2017-2018,Everton FC,Everton FC
02/12/2017,2017-2018,Everton FC,Everton FC
07/12/2017,2017-2018,Everton FC,Everton FC
10/12/2017,2017-2018,Everton FC,Draw
13/12/2017,2017-2018,Everton FC,Everton FC
18/12/2017,2017-2018,Everton FC,Everton FC
23/12/2017,2017-2018,Everton FC,Draw
26/12/2017,2017-2018,Everton FC,Draw
30/12/2017,2017-2018,Everton FC,AFC Bournemouth
01/01/2018,2017-2018,Everton FC,Manchester United
05/01/2018,2017-2018,Everton FC,Liverpool FC
13/01/2018,2017-2018,Everton FC,Tottenham Hotspur
20/01/2018,2017-2018,Everton FC,Draw
31/01/2018,2017-2018,Everton FC,Everton FC
03/02/2018,2017-2018,Everton FC,Arsenal FC
10/02/2018,2017-2018,Everton FC,Everton FC
24/02/2018,2017-2018,Everton FC,Watford FC
03/03/2018,2017-2018,Everton FC,Burnley FC
10/03/2018,2017-2018,Everton FC,Everton FC
17/03/2018,2017-2018,Everton FC,Everton FC
31/03/2018,2017-2018,Everton FC,Manchester City
07/04/2018,2017-2018,Everton FC,Draw
14/04/2018,2017-2018,Everton FC,Draw
23/04/2018,2017-2018,Everton FC,Everton FC
28/04/2018,2017-2018,Everton FC,Everton FC
05/05/2018,2017-2018,Everton FC,Draw
13/05/2018,2017-2018,Everton FC,West Ham United
