date,season,team,team_win
16/07/2017,2017-2018,Manchester United,Manchester United
18/07/2017,2017-2018,Manchester United,Manchester United
21/07/2017,2017-2018,Manchester United,Manchester United
23/07/2017,2017-2018,Manchester United,Manchester United
26/07/2017,2017-2018,Manchester United,FC Barcelona
30/07/2017,2017-2018,Manchester United,Manchester United
02/08/2017,2017-2018,Manchester United,Manchester United
08/08/2017,2017-2018,Manchester United,Real Madrid
13/08/2017,2017-2018,Manchester United,Manchester United
19/08/2017,2017-2018,Manchester United,Manchester United
26/08/2017,2017-2018,Manchester United,Manchester United
09/09/2017,2017-2018,Manchester United,Draw
12/09/2017,2017-2018,Manchester United,Manchester United
17/09/2017,2017-2018,Manchester United,Manchester United
20/09/2017,2017-2018,Manchester United,Manchester United
23/09/2017,2017-2018,Manchester United,Manchester United
27/09/2017,2017-2018,Manchester United,Manchester United
30/09/2017,2017-2018,Manchester United,Manchester United
14/10/2017,2017-2018,Manchester United,Draw
18/10/2017,2017-2018,Manchester United,Manchester United
21/10/2017,2017-2018,Manchester United,Huddersfield Town
24/10/2017,2017-2018,Manchester United,Manchester United
28/10/2017,2017-2018,Manchester United,Manchester United
31/10/2017,2017-2018,Manchester United,Manchester United
05/11/2017,2017-2018,Manchester United,Chelsea FC
18/11/2017,2017-2018,Manchester United,Manchester United
22/11/2017,2017-2018,Manchester United,FC Basel 1893
25/11/2017,2017-2018,Manchester United,Manchester United
28/11/2017,2017-2018,Manchester United,Manchester United
02/12/2017,2017-2018,Manchester United,Manchester United
05/12/2017,2017-2018,Manchester United,Manchester United
10/12/2017,2017-2018,Manchester United,Manchester City
13/12/2017,2017-2018,Manchester United,Manchester United
17/12/2017,2017-2018,Manchester United,Manchester United
20/12/2017,2017-2018,Manchester United,Bristol City
23/12/2017,2017-2018,Manchester United,Draw
26/12/2017,2017-2018,Manchester United,Draw
30/12/2017,2017-2018,Manchester United,Draw
01/01/2018,2017-2018,Manchester United,Manchester United
05/01/2018,2017-2018,Manchester United,Manchester United
15/01/2018,2017-2018,Manchester United,Manchester United
20/01/2018,2017-2018,Manchester United,Manchester United
26/01/2018,2017-2018,Manchester United,Manchester United
31/01/2018,2017-2018,Manchester United,Tottenham Hotspur
03/02/2018,2017-2018,Manchester United,Manchester United
11/02/2018,2017-2018,Manchester United,Newcastle United
17/02/2018,2017-2018,Manchester United,Manchester United
21/02/2018,2017-2018,Manchester United,Draw
25/02/2018,2017-2018,Manchester United,Manchester United
05/03/2018,2017-2018,Manchester United,Manchester United
10/03/2018,2017-2018,Manchester United,Manchester United
13/03/2018,2017-2018,Manchester United,Sevilla FC
17/03/2018,2017-2018,Manchester United,Manchester United
31/03/2018,2017-2018,Manchester United,Manchester United
07/04/2018,2017-2018,Manchester United,Manchester United
15/04/2018,2017-2018,Manchester United,West Bromwich Albion
18/04/2018,2017-2018,Manchester United,Manchester United
21/04/2018,2017-2018,Manchester United,Manchester United
29/04/2018,2017-2018,Manchester United,Manchester United
04/05/2018,2017-2018,Manchester United,Brighton & Hove Albion
10/05/2018,2017-2018,Manchester United,Draw
13/05/2018,2017-2018,Manchester United,Manchester United
19/05/2018,2017-2018,Manchester United,Chelsea FC
