date,season,team,team_win
19/07/2017,2017-2018,Leicester City,Leicester City
22/07/2017,2017-2018,Leicester City,Liverpool FC
26/07/2017,2017-2018,Leicester City,Leicester City
28/07/2017,2017-2018,Leicester City,Draw
29/07/2017,2017-2018,Leicester City,Wolverhampton Wanderers
01/08/2017,2017-2018,Leicester City,Burton Albion
04/08/2017,2017-2018,Leicester City,Leicester City
11/08/2017,2017-2018,Leicester City,Arsenal FC
19/08/2017,2017-2018,Leicester City,Leicester City
22/08/2017,2017-2018,Leicester City,Leicester City
26/08/2017,2017-2018,Leicester City,Manchester United
09/09/2017,2017-2018,Leicester City,Chelsea FC
16/09/2017,2017-2018,Leicester City,Draw
19/09/2017,2017-2018,Leicester City,Leicester City
23/09/2017,2017-2018,Leicester City,Liverpool FC
30/09/2017,2017-2018,Leicester City,Draw
16/10/2017,2017-2018,Leicester City,Draw
21/10/2017,2017-2018,Leicester City,Leicester City
24/10/2017,2017-2018,Leicester City,Leicester City
29/10/2017,2017-2018,Leicester City,Leicester City
04/11/2017,2017-2018,Leicester City,Draw
18/11/2017,2017-2018,Leicester City,Manchester City
24/11/2017,2017-2018,Leicester City,Draw
28/11/2017,2017-2018,Leicester City,Leicester City
02/12/2017,2017-2018,Leicester City,Leicester City
09/12/2017,2017-2018,Leicester City,Leicester City
13/12/2017,2017-2018,Leicester City,Leicester City
16/12/2017,2017-2018,Leicester City,Crystal Palace
19/12/2017,2017-2018,Leicester City,Manchester City
23/12/2017,2017-2018,Leicester City,Draw
26/12/2017,2017-2018,Leicester City,Watford FC
30/12/2017,2017-2018,Leicester City,Liverpool FC
01/01/2018,2017-2018,Leicester City,Leicester City
06/01/2018,2017-2018,Leicester City,Draw
13/01/2018,2017-2018,Leicester City,Draw
16/01/2018,2017-2018,Leicester City,Leicester City
20/01/2018,2017-2018,Leicester City,Leicester City
27/01/2018,2017-2018,Leicester City,Leicester City
31/01/2018,2017-2018,Leicester City,Everton FC
03/02/2018,2017-2018,Leicester City,Draw
10/02/2018,2017-2018,Leicester City,Manchester City
16/02/2018,2017-2018,Leicester City,Leicester City
24/02/2018,2017-2018,Leicester City,Draw
03/03/2018,2017-2018,Leicester City,Draw
10/03/2018,2017-2018,Leicester City,Leicester City
18/03/2018,2017-2018,Leicester City,Chelsea FC
31/03/2018,2017-2018,Leicester City,Leicester City
07/04/2018,2017-2018,Leicester City,Newcastle United
14/04/2018,2017-2018,Leicester City,Burnley FC
19/04/2018,2017-2018,Leicester City,Draw
28/04/2018,2017-2018,Leicester City,Crystal Palace
05/05/2018,2017-2018,Leicester City,West Ham United
09/05/2018,2017-2018,Leicester City,Leicester City
13/05/2018,2017-2018,Leicester City,Tottenham Hotspur
