date,season,team,team_win
20/07/2017,2017-2018,West Ham United,West Ham United
28/07/2017,2017-2018,West Ham United,Werder Bremen
29/07/2017,2017-2018,West Ham United,Draw
04/08/2017,2017-2018,West Ham United,Manchester City
13/08/2017,2017-2018,West Ham United,Manchester United
19/08/2017,2017-2018,West Ham United,Southampton FC
23/08/2017,2017-2018,West Ham United,West Ham United
26/08/2017,2017-2018,West Ham United,Newcastle United
11/09/2017,2017-2018,West Ham United,West Ham United
16/09/2017,2017-2018,West Ham United,Draw
19/09/2017,2017-2018,West Ham United,West Ham United
23/09/2017,2017-2018,West Ham United,Tottenham Hotspur
30/09/2017,2017-2018,West Ham United,West Ham United
14/10/2017,2017-2018,West Ham United,Draw
20/10/2017,2017-2018,West Ham United,Brighton & Hove Albion
25/10/2017,2017-2018,West Ham United,West Ham United
28/10/2017,2017-2018,West Ham United,Draw
04/11/2017,2017-2018,West Ham United,Liverpool FC
19/11/2017,2017-2018,West Ham United,Watford FC
24/11/2017,2017-2018,West Ham United,Draw
29/11/2017,2017-2018,West Ham United,Everton FC
03/12/2017,2017-2018,West Ham United,Manchester City
09/12/2017,2017-2018,West Ham United,West Ham United
13/12/2017,2017-2018,West Ham United,Draw
16/12/2017,2017-2018,West Ham United,West Ham United
19/12/2017,2017-2018,West Ham United,Arsenal FC
23/12/2017,2017-2018,West Ham United,Newcastle United
26/12/2017,2017-2018,West Ham United,Draw
02/01/2018,2017-2018,West Ham United,West Ham United
04/01/2018,2017-2018,West Ham United,Draw
07/01/2018,2017-2018,West Ham United,Draw
13/01/2018,2017-2018,West Ham United,West Ham United
16/01/2018,2017-2018,West Ham United,West Ham United
20/01/2018,2017-2018,West Ham United,Draw
27/01/2018,2017-2018,West Ham United,Wigan Athletic
30/01/2018,2017-2018,West Ham United,Draw
03/02/2018,2017-2018,West Ham United,Brighton & Hove Albion
10/02/2018,2017-2018,West Ham United,West Ham United
24/02/2018,2017-2018,West Ham United,Liverpool FC
03/03/2018,2017-2018,West Ham United,Swansea City
10/03/2018,2017-2018,West Ham United,Burnley FC
31/03/2018,2017-2018,West Ham United,West Ham United
08/04/2018,2017-2018,West Ham United,Draw
16/04/2018,2017-2018,West Ham United,Draw
22/04/2018,2017-2018,West Ham United,Arsenal FC
29/04/2018,2017-2018,West Ham United,Manchester City
05/05/2018,2017-2018,West Ham United,West Ham United
10/05/2018,2017-2018,West Ham United,Draw
13/05/2018,2017-2018,West Ham United,West Ham United
