date,season,team,team_win
12/07/2023,2023-2024,Brentford FC,Draw
23/07/2023,2023-2024,Brentford FC,Fulham FC
26/07/2023,2023-2024,Brentford FC,Brighton & Hove Albion
30/07/2023,2023-2024,Brentford FC,Draw
05/08/2023,2023-2024,Brentford FC,Draw
13/08/2023,2023-2024,Brentford FC,Draw
19/08/2023,2023-2024,Brentford FC,Brentford FC
26/08/2023,2023-2024,Brentford FC,Draw
29/08/2023,2023-2024,Brentford FC,Brentford FC
02/09/2023,2023-2024,Brentford FC,Draw
16/09/2023,2023-2024,Brentford FC,Newcastle United
23/09/2023,2023-2024,Brentford FC,Everton FC
27/09/2023,2023-2024,Brentford FC,Arsenal FC
01/10/2023,2023-2024,Brentford FC,Draw
07/10/2023,2023-2024,Brentford FC,Manchester United
21/10/2023,2023-2024,Brentford FC,Brentford FC
28/10/2023,2023-2024,Brentford FC,Brentford FC
04/11/2023,2023-2024,Brentford FC,Brentford FC
12/11/2023,2023-2024,Brentford FC,Liverpool FC
25/11/2023,2023-2024,Brentford FC,Arsenal FC
02/12/2023,2023-2024,Brentford FC,Brentford FC
06/12/2023,2023-2024,Brentford FC,Brighton & Hove Albion
09/12/2023,2023-2024,Brentford FC,Sheffield United
17/12/2023,2023-2024,Brentford FC,Aston Villa
27/12/2023,2023-2024,Brentford FC,Wolverhampton Wanderers
30/12/2023,2023-2024,Brentford FC,Crystal Palace
05/01/2024,2023-2024,Brentford FC,Draw
16/01/2024,2023-2024,Brentford FC,Wolverhampton Wanderers
20/01/2024,2023-2024,Brentford FC,Brentford FC
31/01/2024,2023-2024,Brentford FC,Tottenham Hotspur
05/02/2024,2023-2024,Brentford FC,Manchester City
10/02/2024,2023-2024,Brentford FC,Brentford FC
17/02/2024,2023-2024,Brentford FC,Liverpool FC
20/02/2024,2023-2024,Brentford FC,Manchester City
26/02/2024,2023-2024,Brentford FC,West Ham United
02/03/2024,2023-2024,Brentford FC,Draw
09/03/2024,2023-2024,Brentford FC,Arsenal FC
16/03/2024,2023-2024,Brentford FC,Burnley FC
30/03/2024,2023-2024,Brentford FC,Draw
03/04/2024,2023-2024,Brentford FC,Draw
06/04/2024,2023-2024,Brentford FC,Draw
13/04/2024,2023-2024,Brentford FC,Brentford FC
20/04/2024,2023-2024,Brentford FC,Brentford FC
27/04/2024,2023-2024,Brentford FC,Everton FC
04/05/2024,2023-2024,Brentford FC,Draw
11/05/2024,2023-2024,Brentford FC,Brentford FC
19/05/2024,2023-2024,Brentford FC,Newcastle United
