date,season,team,team_win
23/07/2023,2023-2024,Manchester City,Manchester City
26/07/2023,2023-2024,Manchester City,Manchester City
30/07/2023,2023-2024,Manchester City,Atlético Madrid
06/08/2023,2023-2024,Manchester City,Arsenal FC
11/08/2023,2023-2024,Manchester City,Manchester City
16/08/2023,2023-2024,Manchester City,Manchester City
19/08/2023,2023-2024,Manchester City,Manchester City
27/08/2023,2023-2024,Manchester City,Manchester City
02/09/2023,2023-2024,Manchester City,Manchester City
16/09/2023,2023-2024,Manchester City,Manchester City
19/09/2023,2023-2024,Manchester City,Manchester City
23/09/2023,2023-2024,Manchester City,Manchester City
27/09/2023,2023-2024,Manchester City,Newcastle United
30/09/2023,2023-2024,Manchester City,Wolverhampton Wanderers
04/10/2023,2023-2024,Manchester City,Manchester City
08/10/2023,2023-2024,Manchester City,Arsenal FC
21/10/2023,2023-2024,Manchester City,Manchester City
25/10/2023,2023-2024,Manchester City,Manchester City
29/10/2023,2023-2024,Manchester City,Manchester City
04/11/2023,2023-2024,Manchester City,Manchester City
07/11/2023,2023-2024,Manchester City,Manchester City
12/11/2023,2023-2024,Manchester City,Draw
25/11/2023,2023-2024,Manchester City,Draw
28/11/2023,2023-2024,Manchester City,Manchester City
03/12/2023,2023-2024,Manchester City,Draw
06/12/2023,2023-2024,Manchester City,Aston Villa
10/12/2023,2023-2024,Manchester City,Manchester City
13/12/2023,2023-2024,Manchester City,Manchester City
16/12/2023,2023-2024,Manchester City,Draw
19/12/2023,2023-2024,Manchester City,Manchester City
22/12/2023,2023-2024,Manchester City,Manchester City
27/12/2023,2023-2024,Manchester City,Manchester City
30/12/2023,2023-2024,Manchester City,Manchester City
07/01/2024,2023-2024,Manchester City,Manchester City
13/01/2024,2023-2024,Manchester City,Manchester City
26/01/2024,2023-2024,Manchester City,Manchester City
31/01/2024,2023-2024,Manchester City,Manchester City
05/02/2024,2023-2024,Manchester City,Manchester City
10/02/2024,2023-2024,Manchester City,Manchester City
13/02/2024,2023-2024,Manchester City,Manchester City
17/02/2024,2023-2024,Manchester City,Draw
20/02/2024,2023-2024,Manchester City,Manchester City
24/02/2024,2023-2024,Manchester City,Manchester City
27/02/2024,2023-2024,Manchester City,Manchester City
03/03/2024,2023-2024,Manchester City,Manchester City
06/03/2024,2023-2024,Manchester City,Manchester City
10/03/2024,2023-2024,Manchester City,Draw
16/03/2024,2023-2024,Manchester City,Manchester City
31/03/2024,2023-2024,Manchester City,Draw
03/04/2024,2023-2024,Manchester City,Manchester City
06/04/2024,2023-2024,Manchester City,Manchester City
09/04/2024,2023-2024,Manchester City,Draw
13/04/2024,2023-2024,Manchester City,Manchester City
17/04/2024,2023-2024,Manchester City,Real Madrid
20/04/2024,2023-2024,Manchester City,Manchester City
25/04/2024,2023-2024,Manchester City,Manchester City
28/04/2024,2023-2024,Manchester City,Manchester City
04/05/2024,2023-2024,Manchester City,Manchester City
11/05/2024,2023-2024,Manchester City,Manchester City
14/05/2024,2023-2024,Manchester City,Manchester City
19/05/2024,2023-2024,Manchester City,Manchester City
25/05/2024,2023-2024,Manchester City,Manchester United
