date,season,team,team_win
23/07/2023,2023-2024,Fulham FC,Fulham FC
26/07/2023,2023-2024,Fulham FC,Aston Villa
30/07/2023,2023-2024,Fulham FC,Chelsea FC
05/08/2023,2023-2024,Fulham FC,Fulham FC
12/08/2023,2023-2024,Fulham FC,Fulham FC
19/08/2023,2023-2024,Fulham FC,Brentford FC
26/08/2023,2023-2024,Fulham FC,Draw
29/08/2023,2023-2024,Fulham FC,Fulham FC
02/09/2023,2023-2024,Fulham FC,Manchester City
16/09/2023,2023-2024,Fulham FC,Fulham FC
23/09/2023,2023-2024,Fulham FC,Draw
27/09/2023,2023-2024,Fulham FC,Fulham FC
02/10/2023,2023-2024,Fulham FC,Chelsea FC
07/10/2023,2023-2024,Fulham FC,Fulham FC
23/10/2023,2023-2024,Fulham FC,Tottenham Hotspur
29/10/2023,2023-2024,Fulham FC,Draw
01/11/2023,2023-2024,Fulham FC,Fulham FC
04/11/2023,2023-2024,Fulham FC,Manchester United
12/11/2023,2023-2024,Fulham FC,Aston Villa
27/11/2023,2023-2024,Fulham FC,Fulham FC
03/12/2023,2023-2024,Fulham FC,Liverpool FC
06/12/2023,2023-2024,Fulham FC,Fulham FC
10/12/2023,2023-2024,Fulham FC,Fulham FC
16/12/2023,2023-2024,Fulham FC,Newcastle United
19/12/2023,2023-2024,Fulham FC,Fulham FC
23/12/2023,2023-2024,Fulham FC,Burnley FC
26/12/2023,2023-2024,Fulham FC,AFC Bournemouth
31/12/2023,2023-2024,Fulham FC,Fulham FC
05/01/2024,2023-2024,Fulham FC,Fulham FC
10/01/2024,2023-2024,Fulham FC,Liverpool FC
13/01/2024,2023-2024,Fulham FC,Chelsea FC
24/01/2024,2023-2024,Fulham FC,Draw
27/01/2024,2023-2024,Fulham FC,Newcastle United
30/01/2024,2023-2024,Fulham FC,Draw
03/02/2024,2023-2024,Fulham FC,Draw
10/02/2024,2023-2024,Fulham FC,Fulham FC
17/02/2024,2023-2024,Fulham FC,Aston Villa
24/02/2024,2023-2024,Fulham FC,Fulham FC
02/03/2024,2023-2024,Fulham FC,Fulham FC
09/03/2024,2023-2024,Fulham FC,Wolverhampton Wanderers
16/03/2024,2023-2024,Fulham FC,Fulham FC
30/03/2024,2023-2024,Fulham FC,Draw
02/04/2024,2023-2024,Fulham FC,Nottingham Forest
06/04/2024,2023-2024,Fulham FC,Newcastle United
14/04/2024,2023-2024,Fulham FC,Fulham FC
21/04/2024,2023-2024,Fulham FC,Liverpool FC
27/04/2024,2023-2024,Fulham FC,Draw
04/05/2024,2023-2024,Fulham FC,Draw
11/05/2024,2023-2024,Fulham FC,Manchester City
19/05/2024,2023-2024,Fulham FC,Fulham FC
