date,season,team,team_win
10/07/2023,2023-2024,West Ham United,West Ham United
15/07/2023,2023-2024,West Ham United,West Ham United
18/07/2023,2023-2024,West Ham United,West Ham United
22/07/2023,2023-2024,West Ham United,Draw
29/07/2023,2023-2024,West Ham United,Stade Rennais
05/08/2023,2023-2024,West Ham United,Bayer Leverkusen
12/08/2023,2023-2024,West Ham United,Draw
20/08/2023,2023-2024,West Ham United,West Ham United
26/08/2023,2023-2024,West Ham United,West Ham United
01/09/2023,2023-2024,West Ham United,West Ham United
16/09/2023,2023-2024,West Ham United,Manchester City
21/09/2023,2023-2024,West Ham United,West Ham United
24/09/2023,2023-2024,West Ham United,Liverpool FC
27/09/2023,2023-2024,West Ham United,West Ham United
30/09/2023,2023-2024,West Ham United,West Ham United
05/10/2023,2023-2024,West Ham United,West Ham United
08/10/2023,2023-2024,West Ham United,Draw
22/10/2023,2023-2024,West Ham United,Aston Villa
26/10/2023,2023-2024,West Ham United,Olympiacos FC
29/10/2023,2023-2024,West Ham United,Everton FC
01/11/2023,2023-2024,West Ham United,West Ham United
04/11/2023,2023-2024,West Ham United,Brentford FC
09/11/2023,2023-2024,West Ham United,West Ham United
12/11/2023,2023-2024,West Ham United,West Ham United
25/11/2023,2023-2024,West Ham United,West Ham United
30/11/2023,2023-2024,West Ham United,West Ham United
03/12/2023,2023-2024,West Ham United,Draw
07/12/2023,2023-2024,West Ham United,West Ham United
10/12/2023,2023-2024,West Ham United,Fulham FC
14/12/2023,2023-2024,West Ham United,West Ham United
17/12/2023,2023-2024,West Ham United,West Ham United
20/12/2023,2023-2024,West Ham United,Liverpool FC
23/12/2023,2023-2024,West Ham United,West Ham United
28/12/2023,2023-2024,West Ham United,West Ham United
02/01/2024,2023-2024,West Ham United,Draw
07/01/2024,2023-2024,West Ham United,Draw
16/01/2024,2023-2024,West Ham United,Bristol City
21/01/2024,2023-2024,West Ham United,Draw
01/02/2024,2023-2024,West Ham United,Draw
04/02/2024,2023-2024,West Ham United,Manchester United
11/02/2024,2023-2024,West Ham United,Arsenal FC
17/02/2024,2023-2024,West Ham United,Nottingham Forest
26/02/2024,2023-2024,West Ham United,West Ham United
02/03/2024,2023-2024,West Ham United,West Ham United
07/03/2024,2023-2024,West Ham United,SC Freiburg
10/03/2024,2023-2024,West Ham United,Draw
14/03/2024,2023-2024,West Ham United,West Ham United
17/03/2024,2023-2024,West Ham United,Draw
30/03/2024,2023-2024,West Ham United,Newcastle United
02/04/2024,2023-2024,West Ham United,Draw
06/04/2024,2023-2024,West Ham United,West Ham United
11/04/2024,2023-2024,West Ham United,Bayer Leverkusen
14/04/2024,2023-2024,West Ham United,Fulham FC
18/04/2024,2023-2024,West Ham United,Draw
21/04/2024,2023-2024,West Ham United,Crystal Palace
27/04/2024,2023-2024,West Ham United,Draw
05/05/2024,2023-2024,West Ham United,Chelsea FC
11/05/2024,2023-2024,West Ham United,West Ham United
19/05/2024,2023-2024,West Ham United,Manchester City
