date,season,team,team_win
22/07/2023,2023-2024,Burnley FC,KRC Genk
25/07/2023,2023-2024,Burnley FC,Burnley FC
28/07/2023,2023-2024,Burnley FC,Draw
05/08/2023,2023-2024,Burnley FC,1. FSV Mainz 05
11/08/2023,2023-2024,Burnley FC,Manchester City
27/08/2023,2023-2024,Burnley FC,Aston Villa
30/08/2023,2023-2024,Burnley FC,Burnley FC
02/09/2023,2023-2024,Burnley FC,Tottenham Hotspur
18/09/2023,2023-2024,Burnley FC,Draw
23/09/2023,2023-2024,Burnley FC,Manchester United
26/09/2023,2023-2024,Burnley FC,Burnley FC
30/09/2023,2023-2024,Burnley FC,Newcastle United
03/10/2023,2023-2024,Burnley FC,Burnley FC
07/10/2023,2023-2024,Burnley FC,Chelsea FC
21/10/2023,2023-2024,Burnley FC,Brentford FC
28/10/2023,2023-2024,Burnley FC,AFC Bournemouth
01/11/2023,2023-2024,Burnley FC,Everton FC
04/11/2023,2023-2024,Burnley FC,Crystal Palace
11/11/2023,2023-2024,Burnley FC,Arsenal FC
25/11/2023,2023-2024,Burnley FC,West Ham United
02/12/2023,2023-2024,Burnley FC,Burnley FC
05/12/2023,2023-2024,Burnley FC,Wolverhampton Wanderers
09/12/2023,2023-2024,Burnley FC,Draw
16/12/2023,2023-2024,Burnley FC,Everton FC
23/12/2023,2023-2024,Burnley FC,Burnley FC
26/12/2023,2023-2024,Burnley FC,Liverpool FC
30/12/2023,2023-2024,Burnley FC,Aston Villa
05/01/2024,2023-2024,Burnley FC,Tottenham Hotspur
12/01/2024,2023-2024,Burnley FC,Draw
31/01/2024,2023-2024,Burnley FC,Manchester City
03/02/2024,2023-2024,Burnley FC,Draw
10/02/2024,2023-2024,Burnley FC,Liverpool FC
17/02/2024,2023-2024,Burnley FC,Arsenal FC
24/02/2024,2023-2024,Burnley FC,Crystal Palace
03/03/2024,2023-2024,Burnley FC,AFC Bournemouth
10/03/2024,2023-2024,Burnley FC,Draw
16/03/2024,2023-2024,Burnley FC,Burnley FC
30/03/2024,2023-2024,Burnley FC,Draw
02/04/2024,2023-2024,Burnley FC,Draw
06/04/2024,2023-2024,Burnley FC,Everton FC
13/04/2024,2023-2024,Burnley FC,Draw
20/04/2024,2023-2024,Burnley FC,Burnley FC
27/04/2024,2023-2024,Burnley FC,Draw
04/05/2024,2023-2024,Burnley FC,Newcastle United
11/05/2024,2023-2024,Burnley FC,Tottenham Hotspur
19/05/2024,2023-2024,Burnley FC,Nottingham Forest
