date,season,team,team_win
08/07/2022,2022-2023,West Ham United,West Ham United
12/07/2022,2022-2023,West Ham United,West Ham United
12/07/2022,2022-2023,West Ham United,Draw
16/07/2022,2022-2023,West Ham United,Draw
19/07/2022,2022-2023,West Ham United,Rangers FC
23/07/2022,2022-2023,West Ham United,Draw
30/07/2022,2022-2023,West Ham United,Draw
07/08/2022,2022-2023,West Ham United,Manchester City
14/08/2022,2022-2023,West Ham United,Nottingham Forest
18/08/2022,2022-2023,West Ham United,West Ham United
21/08/2022,2022-2023,West Ham United,Brighton & Hove Albion
25/08/2022,2022-2023,West Ham United,West Ham United
28/08/2022,2022-2023,West Ham United,West Ham United
31/08/2022,2022-2023,West Ham United,Draw
03/09/2022,2022-2023,West Ham United,Chelsea FC
08/09/2022,2022-2023,West Ham United,West Ham United
15/09/2022,2022-2023,West Ham United,West Ham United
18/09/2022,2022-2023,West Ham United,Everton FC
01/10/2022,2022-2023,West Ham United,West Ham United
06/10/2022,2022-2023,West Ham United,West Ham United
09/10/2022,2022-2023,West Ham United,West Ham United
13/10/2022,2022-2023,West Ham United,West Ham United
16/10/2022,2022-2023,West Ham United,Draw
19/10/2022,2022-2023,West Ham United,Liverpool FC
24/10/2022,2022-2023,West Ham United,West Ham United
27/10/2022,2022-2023,West Ham United,West Ham United
30/10/2022,2022-2023,West Ham United,Manchester United
03/11/2022,2022-2023,West Ham United,West Ham United
06/11/2022,2022-2023,West Ham United,Crystal Palace
09/11/2022,2022-2023,West Ham United,Blackburn Rovers
12/11/2022,2022-2023,West Ham United,Leicester City
06/12/2022,2022-2023,West Ham United,West Ham United
10/12/2022,2022-2023,West Ham United,West Ham United
17/12/2022,2022-2023,West Ham United,Draw
26/12/2022,2022-2023,West Ham United,Arsenal FC
30/12/2022,2022-2023,West Ham United,Brentford FC
04/01/2023,2022-2023,West Ham United,Draw
07/01/2023,2022-2023,West Ham United,West Ham United
14/01/2023,2022-2023,West Ham United,Wolverhampton Wanderers
21/01/2023,2022-2023,West Ham United,West Ham United
30/01/2023,2022-2023,West Ham United,West Ham United
04/02/2023,2022-2023,West Ham United,Draw
11/02/2023,2022-2023,West Ham United,Draw
19/02/2023,2022-2023,West Ham United,Tottenham Hotspur
25/02/2023,2022-2023,West Ham United,West Ham United
01/03/2023,2022-2023,West Ham United,Manchester United
04/03/2023,2022-2023,West Ham United,Brighton & Hove Albion
09/03/2023,2022-2023,West Ham United,West Ham United
12/03/2023,2022-2023,West Ham United,Draw
16/03/2023,2022-2023,West Ham United,West Ham United
02/04/2023,2022-2023,West Ham United,West Ham United
05/04/2023,2022-2023,West Ham United,Newcastle United
08/04/2023,2022-2023,West Ham United,West Ham United
13/04/2023,2022-2023,West Ham United,Draw
16/04/2023,2022-2023,West Ham United,Draw
20/04/2023,2022-2023,West Ham United,West Ham United
23/04/2023,2022-2023,West Ham United,West Ham United
26/04/2023,2022-2023,West Ham United,Liverpool FC
29/04/2023,2022-2023,West Ham United,Crystal Palace
03/05/2023,2022-2023,West Ham United,Manchester City
07/05/2023,2022-2023,West Ham United,West Ham United
11/05/2023,2022-2023,West Ham United,West Ham United
14/05/2023,2022-2023,West Ham United,Brentford FC
18/05/2023,2022-2023,West Ham United,West Ham United
21/05/2023,2022-2023,West Ham United,West Ham United
28/05/2023,2022-2023,West Ham United,Leicester City
07/06/2023,2022-2023,West Ham United,West Ham United
