date,season,team,team_win
09/07/2022,2022-2023,Newcastle United,Newcastle United
15/07/2022,2022-2023,Newcastle United,Newcastle United
18/07/2022,2022-2023,Newcastle United,1. FSV Mainz 05
26/07/2022,2022-2023,Newcastle United,SL Benfica
29/07/2022,2022-2023,Newcastle United,Newcastle United
30/07/2022,2022-2023,Newcastle United,Newcastle United
06/08/2022,2022-2023,Newcastle United,Newcastle United
13/08/2022,2022-2023,Newcastle United,Draw
21/08/2022,2022-2023,Newcastle United,Draw
24/08/2022,2022-2023,Newcastle United,Newcastle United
28/08/2022,2022-2023,Newcastle United,Draw
31/08/2022,2022-2023,Newcastle United,Liverpool FC
03/09/2022,2022-2023,Newcastle United,Draw
17/09/2022,2022-2023,Newcastle United,Draw
01/10/2022,2022-2023,Newcastle United,Newcastle United
08/10/2022,2022-2023,Newcastle United,Newcastle United
16/10/2022,2022-2023,Newcastle United,Draw
19/10/2022,2022-2023,Newcastle United,Newcastle United
23/10/2022,2022-2023,Newcastle United,Newcastle United
29/10/2022,2022-2023,Newcastle United,Newcastle United
06/11/2022,2022-2023,Newcastle United,Newcastle United
09/11/2022,2022-2023,Newcastle United,Newcastle United
12/11/2022,2022-2023,Newcastle United,Newcastle United
08/12/2022,2022-2023,Newcastle United,Newcastle United
17/12/2022,2022-2023,Newcastle United,Newcastle United
20/12/2022,2022-2023,Newcastle United,Newcastle United
26/12/2022,2022-2023,Newcastle United,Newcastle United
31/12/2022,2022-2023,Newcastle United,Draw
03/01/2023,2022-2023,Newcastle United,Draw
07/01/2023,2022-2023,Newcastle United,Sheffield Wednesday
10/01/2023,2022-2023,Newcastle United,Newcastle United
15/01/2023,2022-2023,Newcastle United,Newcastle United
21/01/2023,2022-2023,Newcastle United,Draw
24/01/2023,2022-2023,Newcastle United,Newcastle United
31/01/2023,2022-2023,Newcastle United,Newcastle United
04/02/2023,2022-2023,Newcastle United,Draw
11/02/2023,2022-2023,Newcastle United,Draw
18/02/2023,2022-2023,Newcastle United,Liverpool FC
26/02/2023,2022-2023,Newcastle United,Manchester United
04/03/2023,2022-2023,Newcastle United,Manchester City
12/03/2023,2022-2023,Newcastle United,Newcastle United
17/03/2023,2022-2023,Newcastle United,Newcastle United
02/04/2023,2022-2023,Newcastle United,Newcastle United
05/04/2023,2022-2023,Newcastle United,Newcastle United
08/04/2023,2022-2023,Newcastle United,Newcastle United
15/04/2023,2022-2023,Newcastle United,Aston Villa
23/04/2023,2022-2023,Newcastle United,Newcastle United
27/04/2023,2022-2023,Newcastle United,Newcastle United
30/04/2023,2022-2023,Newcastle United,Newcastle United
07/05/2023,2022-2023,Newcastle United,Arsenal FC
13/05/2023,2022-2023,Newcastle United,Draw
18/05/2023,2022-2023,Newcastle United,Newcastle United
22/05/2023,2022-2023,Newcastle United,Draw
28/05/2023,2022-2023,Newcastle United,Draw
