date,season,team,team_win
08/07/2022,2022-2023,Nottingham Forest,Coventry City
16/07/2022,2022-2023,Nottingham Forest,Draw
20/07/2022,2022-2023,Nottingham Forest,Nottingham Forest
23/07/2022,2022-2023,Nottingham Forest,1. FC Union Berlin
26/07/2022,2022-2023,Nottingham Forest,Draw
30/07/2022,2022-2023,Nottingham Forest,Draw
06/08/2022,2022-2023,Nottingham Forest,Newcastle United
14/08/2022,2022-2023,Nottingham Forest,Nottingham Forest
20/08/2022,2022-2023,Nottingham Forest,Draw
23/08/2022,2022-2023,Nottingham Forest,Nottingham Forest
28/08/2022,2022-2023,Nottingham Forest,Tottenham Hotspur
31/08/2022,2022-2023,Nottingham Forest,Manchester City
03/09/2022,2022-2023,Nottingham Forest,AFC Bournemouth
16/09/2022,2022-2023,Nottingham Forest,Fulham FC
03/10/2022,2022-2023,Nottingham Forest,Leicester City
10/10/2022,2022-2023,Nottingham Forest,Draw
15/10/2022,2022-2023,Nottingham Forest,Wolverhampton Wanderers
18/10/2022,2022-2023,Nottingham Forest,Draw
22/10/2022,2022-2023,Nottingham Forest,Nottingham Forest
30/10/2022,2022-2023,Nottingham Forest,Arsenal FC
05/11/2022,2022-2023,Nottingham Forest,Draw
09/11/2022,2022-2023,Nottingham Forest,Nottingham Forest
12/11/2022,2022-2023,Nottingham Forest,Nottingham Forest
06/12/2022,2022-2023,Nottingham Forest,Atromitos
10/12/2022,2022-2023,Nottingham Forest,Olympiacos FC
16/12/2022,2022-2023,Nottingham Forest,Nottingham Forest
21/12/2022,2022-2023,Nottingham Forest,Nottingham Forest
27/12/2022,2022-2023,Nottingham Forest,Manchester United
01/01/2023,2022-2023,Nottingham Forest,Draw
04/01/2023,2022-2023,Nottingham Forest,Nottingham Forest
07/01/2023,2022-2023,Nottingham Forest,Blackpool FC
11/01/2023,2022-2023,Nottingham Forest,Nottingham Forest
14/01/2023,2022-2023,Nottingham Forest,Nottingham Forest
21/01/2023,2022-2023,Nottingham Forest,Draw
25/01/2023,2022-2023,Nottingham Forest,Manchester United
01/02/2023,2022-2023,Nottingham Forest,Manchester United
05/02/2023,2022-2023,Nottingham Forest,Nottingham Forest
11/02/2023,2022-2023,Nottingham Forest,Fulham FC
18/02/2023,2022-2023,Nottingham Forest,Draw
25/02/2023,2022-2023,Nottingham Forest,West Ham United
05/03/2023,2022-2023,Nottingham Forest,Draw
11/03/2023,2022-2023,Nottingham Forest,Tottenham Hotspur
17/03/2023,2022-2023,Nottingham Forest,Newcastle United
01/04/2023,2022-2023,Nottingham Forest,Draw
04/04/2023,2022-2023,Nottingham Forest,Leeds United
08/04/2023,2022-2023,Nottingham Forest,Aston Villa
16/04/2023,2022-2023,Nottingham Forest,Manchester United
22/04/2023,2022-2023,Nottingham Forest,Liverpool FC
26/04/2023,2022-2023,Nottingham Forest,Nottingham Forest
29/04/2023,2022-2023,Nottingham Forest,Brentford FC
08/05/2023,2022-2023,Nottingham Forest,Nottingham Forest
13/05/2023,2022-2023,Nottingham Forest,Draw
20/05/2023,2022-2023,Nottingham Forest,Nottingham Forest
28/05/2023,2022-2023,Nottingham Forest,Draw
