date,season,team,team_win
16/07/2022,2022-2023,Southampton FC,RB Leipzig
18/07/2022,2022-2023,Southampton FC,Draw
23/07/2022,2022-2023,Southampton FC,Draw
27/07/2022,2022-2023,Southampton FC,Southampton FC
30/07/2022,2022-2023,Southampton FC,Villarreal CF
06/08/2022,2022-2023,Southampton FC,Tottenham Hotspur
13/08/2022,2022-2023,Southampton FC,Draw
20/08/2022,2022-2023,Southampton FC,Southampton FC
23/08/2022,2022-2023,Southampton FC,Southampton FC
27/08/2022,2022-2023,Southampton FC,Manchester United
30/08/2022,2022-2023,Southampton FC,Southampton FC
03/09/2022,2022-2023,Southampton FC,Wolverhampton Wanderers
16/09/2022,2022-2023,Southampton FC,Aston Villa
01/10/2022,2022-2023,Southampton FC,Everton FC
08/10/2022,2022-2023,Southampton FC,Manchester City
16/10/2022,2022-2023,Southampton FC,Draw
19/10/2022,2022-2023,Southampton FC,Southampton FC
23/10/2022,2022-2023,Southampton FC,Draw
29/10/2022,2022-2023,Southampton FC,Crystal Palace
06/11/2022,2022-2023,Southampton FC,Newcastle United
09/11/2022,2022-2023,Southampton FC,Southampton FC
12/11/2022,2022-2023,Southampton FC,Liverpool FC
20/12/2022,2022-2023,Southampton FC,Southampton FC
26/12/2022,2022-2023,Southampton FC,Brighton & Hove Albion
31/12/2022,2022-2023,Southampton FC,Fulham FC
04/01/2023,2022-2023,Southampton FC,Nottingham Forest
07/01/2023,2022-2023,Southampton FC,Southampton FC
11/01/2023,2022-2023,Southampton FC,Southampton FC
14/01/2023,2022-2023,Southampton FC,Southampton FC
21/01/2023,2022-2023,Southampton FC,Aston Villa
24/01/2023,2022-2023,Southampton FC,Newcastle United
28/01/2023,2022-2023,Southampton FC,Southampton FC
31/01/2023,2022-2023,Southampton FC,Newcastle United
04/02/2023,2022-2023,Southampton FC,Brentford FC
11/02/2023,2022-2023,Southampton FC,Wolverhampton Wanderers
18/02/2023,2022-2023,Southampton FC,Southampton FC
25/02/2023,2022-2023,Southampton FC,Leeds United
01/03/2023,2022-2023,Southampton FC,Grimsby Town
04/03/2023,2022-2023,Southampton FC,Southampton FC
12/03/2023,2022-2023,Southampton FC,Draw
15/03/2023,2022-2023,Southampton FC,Brentford FC
18/03/2023,2022-2023,Southampton FC,Draw
02/04/2023,2022-2023,Southampton FC,West Ham United
08/04/2023,2022-2023,Southampton FC,Manchester City
15/04/2023,2022-2023,Southampton FC,Crystal Palace
21/04/2023,2022-2023,Southampton FC,Draw
27/04/2023,2022-2023,Southampton FC,AFC Bournemouth
30/04/2023,2022-2023,Southampton FC,Newcastle United
08/05/2023,2022-2023,Southampton FC,Nottingham Forest
13/05/2023,2022-2023,Southampton FC,Fulham FC
21/05/2023,2022-2023,Southampton FC,Brighton & Hove Albion
28/05/2023,2022-2023,Southampton FC,Draw
