date,season,team,team_win
12/07/2022,2022-2023,Manchester United,Manchester United
15/07/2022,2022-2023,Manchester United,Manchester United
19/07/2022,2022-2023,Manchester United,Manchester United
23/07/2022,2022-2023,Manchester United,Draw
30/07/2022,2022-2023,Manchester United,Atlético Madrid
31/07/2022,2022-2023,Manchester United,Draw
07/08/2022,2022-2023,Manchester United,Brighton & Hove Albion
13/08/2022,2022-2023,Manchester United,Brentford FC
22/08/2022,2022-2023,Manchester United,Manchester United
27/08/2022,2022-2023,Manchester United,Manchester United
01/09/2022,2022-2023,Manchester United,Manchester United
04/09/2022,2022-2023,Manchester United,Manchester United
08/09/2022,2022-2023,Manchester United,Real Sociedad
15/09/2022,2022-2023,Manchester United,Manchester United
02/10/2022,2022-2023,Manchester United,Manchester City
06/10/2022,2022-2023,Manchester United,Manchester United
09/10/2022,2022-2023,Manchester United,Manchester United
13/10/2022,2022-2023,Manchester United,Manchester United
16/10/2022,2022-2023,Manchester United,Draw
19/10/2022,2022-2023,Manchester United,Manchester United
22/10/2022,2022-2023,Manchester United,Draw
27/10/2022,2022-2023,Manchester United,Manchester United
30/10/2022,2022-2023,Manchester United,Manchester United
03/11/2022,2022-2023,Manchester United,Manchester United
06/11/2022,2022-2023,Manchester United,Aston Villa
10/11/2022,2022-2023,Manchester United,Manchester United
13/11/2022,2022-2023,Manchester United,Manchester United
07/12/2022,2022-2023,Manchester United,Cádiz CF
10/12/2022,2022-2023,Manchester United,Real Betis
21/12/2022,2022-2023,Manchester United,Manchester United
27/12/2022,2022-2023,Manchester United,Manchester United
31/12/2022,2022-2023,Manchester United,Manchester United
03/01/2023,2022-2023,Manchester United,Manchester United
06/01/2023,2022-2023,Manchester United,Manchester United
10/01/2023,2022-2023,Manchester United,Manchester United
14/01/2023,2022-2023,Manchester United,Manchester United
18/01/2023,2022-2023,Manchester United,Draw
22/01/2023,2022-2023,Manchester United,Arsenal FC
25/01/2023,2022-2023,Manchester United,Manchester United
28/01/2023,2022-2023,Manchester United,Manchester United
01/02/2023,2022-2023,Manchester United,Manchester United
04/02/2023,2022-2023,Manchester United,Manchester United
08/02/2023,2022-2023,Manchester United,Draw
12/02/2023,2022-2023,Manchester United,Manchester United
16/02/2023,2022-2023,Manchester United,Draw
19/02/2023,2022-2023,Manchester United,Manchester United
23/02/2023,2022-2023,Manchester United,Manchester United
26/02/2023,2022-2023,Manchester United,Manchester United
01/03/2023,2022-2023,Manchester United,Manchester United
05/03/2023,2022-2023,Manchester United,Liverpool FC
09/03/2023,2022-2023,Manchester United,Manchester United
12/03/2023,2022-2023,Manchester United,Draw
16/03/2023,2022-2023,Manchester United,Manchester United
19/03/2023,2022-2023,Manchester United,Manchester United
02/04/2023,2022-2023,Manchester United,Newcastle United
05/04/2023,2022-2023,Manchester United,Manchester United
08/04/2023,2022-2023,Manchester United,Manchester United
13/04/2023,2022-2023,Manchester United,Draw
16/04/2023,2022-2023,Manchester United,Manchester United
20/04/2023,2022-2023,Manchester United,Sevilla FC
23/04/2023,2022-2023,Manchester United,Manchester United
27/04/2023,2022-2023,Manchester United,Draw
30/04/2023,2022-2023,Manchester United,Manchester United
04/05/2023,2022-2023,Manchester United,Brighton & Hove Albion
07/05/2023,2022-2023,Manchester United,West Ham United
13/05/2023,2022-2023,Manchester United,Manchester United
20/05/2023,2022-2023,Manchester United,Manchester United
25/05/2023,2022-2023,Manchester United,Manchester United
28/05/2023,2022-2023,Manchester United,Manchester United
03/06/2023,2022-2023,Manchester United,Manchester City
