date,season,team,team_win
17/07/2022,2022-2023,Chelsea FC,Chelsea FC
20/07/2022,2022-2023,Chelsea FC,Charlotte FC
24/07/2022,2022-2023,Chelsea FC,Arsenal FC
29/07/2022,2022-2023,Chelsea FC,Chelsea FC
06/08/2022,2022-2023,Chelsea FC,Chelsea FC
14/08/2022,2022-2023,Chelsea FC,Draw
21/08/2022,2022-2023,Chelsea FC,Leeds United
27/08/2022,2022-2023,Chelsea FC,Chelsea FC
30/08/2022,2022-2023,Chelsea FC,Southampton FC
03/09/2022,2022-2023,Chelsea FC,Chelsea FC
06/09/2022,2022-2023,Chelsea FC,Dinamo Zagreb
14/09/2022,2022-2023,Chelsea FC,Draw
01/10/2022,2022-2023,Chelsea FC,Chelsea FC
05/10/2022,2022-2023,Chelsea FC,Chelsea FC
08/10/2022,2022-2023,Chelsea FC,Chelsea FC
11/10/2022,2022-2023,Chelsea FC,Chelsea FC
16/10/2022,2022-2023,Chelsea FC,Chelsea FC
19/10/2022,2022-2023,Chelsea FC,Draw
22/10/2022,2022-2023,Chelsea FC,Draw
25/10/2022,2022-2023,Chelsea FC,Chelsea FC
29/10/2022,2022-2023,Chelsea FC,Brighton & Hove Albion
02/11/2022,2022-2023,Chelsea FC,Chelsea FC
06/11/2022,2022-2023,Chelsea FC,Arsenal FC
09/11/2022,2022-2023,Chelsea FC,Manchester City
12/11/2022,2022-2023,Chelsea FC,Newcastle United
11/12/2022,2022-2023,Chelsea FC,Aston Villa
27/12/2022,2022-2023,Chelsea FC,Chelsea FC
01/01/2023,2022-2023,Chelsea FC,Draw
05/01/2023,2022-2023,Chelsea FC,Manchester City
08/01/2023,2022-2023,Chelsea FC,Manchester City
12/01/2023,2022-2023,Chelsea FC,Fulham FC
15/01/2023,2022-2023,Chelsea FC,Chelsea FC
21/01/2023,2022-2023,Chelsea FC,Draw
03/02/2023,2022-2023,Chelsea FC,Draw
11/02/2023,2022-2023,Chelsea FC,Draw
15/02/2023,2022-2023,Chelsea FC,Borussia Dortmund
18/02/2023,2022-2023,Chelsea FC,Southampton FC
26/02/2023,2022-2023,Chelsea FC,Tottenham Hotspur
04/03/2023,2022-2023,Chelsea FC,Chelsea FC
07/03/2023,2022-2023,Chelsea FC,Chelsea FC
11/03/2023,2022-2023,Chelsea FC,Chelsea FC
18/03/2023,2022-2023,Chelsea FC,Draw
01/04/2023,2022-2023,Chelsea FC,Aston Villa
04/04/2023,2022-2023,Chelsea FC,Draw
08/04/2023,2022-2023,Chelsea FC,Wolverhampton Wanderers
12/04/2023,2022-2023,Chelsea FC,Real Madrid
15/04/2023,2022-2023,Chelsea FC,Brighton & Hove Albion
18/04/2023,2022-2023,Chelsea FC,Real Madrid
26/04/2023,2022-2023,Chelsea FC,Brentford FC
02/05/2023,2022-2023,Chelsea FC,Arsenal FC
06/05/2023,2022-2023,Chelsea FC,Chelsea FC
13/05/2023,2022-2023,Chelsea FC,Draw
21/05/2023,2022-2023,Chelsea FC,Manchester City
25/05/2023,2022-2023,Chelsea FC,Manchester United
28/05/2023,2022-2023,Chelsea FC,Draw
