date,season,team,team_win
16/07/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
20/07/2019,2019-2020,AFC Bournemouth,Girona FC
26/07/2019,2019-2020,AFC Bournemouth,Draw
27/07/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
02/08/2019,2019-2020,AFC Bournemouth,Lazio Roma
03/08/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
10/08/2019,2019-2020,AFC Bournemouth,Draw
17/08/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
25/08/2019,2019-2020,AFC Bournemouth,Manchester City
28/08/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
31/08/2019,2019-2020,AFC Bournemouth,Leicester City
15/09/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
20/09/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
25/09/2019,2019-2020,AFC Bournemouth,Burton Albion
28/09/2019,2019-2020,AFC Bournemouth,Draw
06/10/2019,2019-2020,AFC Bournemouth,Arsenal FC
19/10/2019,2019-2020,AFC Bournemouth,Draw
26/10/2019,2019-2020,AFC Bournemouth,Draw
02/11/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
09/11/2019,2019-2020,AFC Bournemouth,Newcastle United
23/11/2019,2019-2020,AFC Bournemouth,Wolverhampton Wanderers
30/11/2019,2019-2020,AFC Bournemouth,Tottenham Hotspur
03/12/2019,2019-2020,AFC Bournemouth,Crystal Palace
07/12/2019,2019-2020,AFC Bournemouth,Liverpool FC
14/12/2019,2019-2020,AFC Bournemouth,AFC Bournemouth
21/12/2019,2019-2020,AFC Bournemouth,Burnley FC
26/12/2019,2019-2020,AFC Bournemouth,Draw
28/12/2019,2019-2020,AFC Bournemouth,Brighton & Hove Albion
01/01/2020,2019-2020,AFC Bournemouth,West Ham United
04/01/2020,2019-2020,AFC Bournemouth,AFC Bournemouth
12/01/2020,2019-2020,AFC Bournemouth,Watford FC
18/01/2020,2019-2020,AFC Bournemouth,Norwich City
21/01/2020,2019-2020,AFC Bournemouth,AFC Bournemouth
27/01/2020,2019-2020,AFC Bournemouth,Arsenal FC
01/02/2020,2019-2020,AFC Bournemouth,AFC Bournemouth
09/02/2020,2019-2020,AFC Bournemouth,Sheffield United
22/02/2020,2019-2020,AFC Bournemouth,Burnley FC
29/02/2020,2019-2020,AFC Bournemouth,Draw
07/03/2020,2019-2020,AFC Bournemouth,Liverpool FC
20/06/2020,2019-2020,AFC Bournemouth,Crystal Palace
24/06/2020,2019-2020,AFC Bournemouth,Wolverhampton Wanderers
