date,season,team,team_win
12/07/2019,2019-2020,Sheffield United,Sheffield United
16/07/2019,2019-2020,Sheffield United,Burton Albion
20/07/2019,2019-2020,Sheffield United,Sheffield United
23/07/2019,2019-2020,Sheffield United,Sheffield United
27/07/2019,2019-2020,Sheffield United,Sheffield United
10/08/2019,2019-2020,Sheffield United,Draw
18/08/2019,2019-2020,Sheffield United,Sheffield United
24/08/2019,2019-2020,Sheffield United,Leicester City
27/08/2019,2019-2020,Sheffield United,Sheffield United
31/08/2019,2019-2020,Sheffield United,Draw
14/09/2019,2019-2020,Sheffield United,Southampton FC
21/09/2019,2019-2020,Sheffield United,Sheffield United
25/09/2019,2019-2020,Sheffield United,Sunderland AFC
28/09/2019,2019-2020,Sheffield United,Liverpool FC
05/10/2019,2019-2020,Sheffield United,Draw
21/10/2019,2019-2020,Sheffield United,Sheffield United
26/10/2019,2019-2020,Sheffield United,Draw
02/11/2019,2019-2020,Sheffield United,Sheffield United
09/11/2019,2019-2020,Sheffield United,Draw
24/11/2019,2019-2020,Sheffield United,Draw
01/12/2019,2019-2020,Sheffield United,Draw
05/12/2019,2019-2020,Sheffield United,Newcastle United
08/12/2019,2019-2020,Sheffield United,Sheffield United
14/12/2019,2019-2020,Sheffield United,Sheffield United
21/12/2019,2019-2020,Sheffield United,Sheffield United
26/12/2019,2019-2020,Sheffield United,Draw
29/12/2019,2019-2020,Sheffield United,Manchester City
02/01/2020,2019-2020,Sheffield United,Liverpool FC
05/01/2020,2019-2020,Sheffield United,Sheffield United
10/01/2020,2019-2020,Sheffield United,Sheffield United
18/01/2020,2019-2020,Sheffield United,Draw
21/01/2020,2019-2020,Sheffield United,Manchester City
25/01/2020,2019-2020,Sheffield United,Sheffield United
01/02/2020,2019-2020,Sheffield United,Sheffield United
09/02/2020,2019-2020,Sheffield United,Sheffield United
22/02/2020,2019-2020,Sheffield United,Draw
03/03/2020,2019-2020,Sheffield United,Sheffield United
07/03/2020,2019-2020,Sheffield United,Sheffield United
17/06/2020,2019-2020,Sheffield United,Draw
21/06/2020,2019-2020,Sheffield United,Newcastle United
24/06/2020,2019-2020,Sheffield United,Manchester United
28/06/2020,2019-2020,Sheffield United,Arsenal FC
