date,season,team,team_win
11/07/2019,2019-2020,West Ham United,West Ham United
17/07/2019,2019-2020,West Ham United,Manchester City
20/07/2019,2019-2020,West Ham United,Newcastle United
26/07/2019,2019-2020,West Ham United,Draw
27/07/2019,2019-2020,West Ham United,West Ham United
31/07/2019,2019-2020,West Ham United,West Ham United
03/08/2019,2019-2020,West Ham United,Athletic Club
10/08/2019,2019-2020,West Ham United,Manchester City
17/08/2019,2019-2020,West Ham United,Draw
24/08/2019,2019-2020,West Ham United,West Ham United
27/08/2019,2019-2020,West Ham United,West Ham United
31/08/2019,2019-2020,West Ham United,West Ham United
16/09/2019,2019-2020,West Ham United,Draw
22/09/2019,2019-2020,West Ham United,West Ham United
25/09/2019,2019-2020,West Ham United,Oxford United
28/09/2019,2019-2020,West Ham United,Draw
05/10/2019,2019-2020,West Ham United,Crystal Palace
19/10/2019,2019-2020,West Ham United,Everton FC
26/10/2019,2019-2020,West Ham United,Draw
02/11/2019,2019-2020,West Ham United,Newcastle United
09/11/2019,2019-2020,West Ham United,Burnley FC
23/11/2019,2019-2020,West Ham United,Tottenham Hotspur
30/11/2019,2019-2020,West Ham United,West Ham United
04/12/2019,2019-2020,West Ham United,Wolverhampton Wanderers
09/12/2019,2019-2020,West Ham United,Arsenal FC
14/12/2019,2019-2020,West Ham United,West Ham United
26/12/2019,2019-2020,West Ham United,Crystal Palace
28/12/2019,2019-2020,West Ham United,Leicester City
01/01/2020,2019-2020,West Ham United,West Ham United
05/01/2020,2019-2020,West Ham United,West Ham United
10/01/2020,2019-2020,West Ham United,Sheffield United
18/01/2020,2019-2020,West Ham United,Draw
22/01/2020,2019-2020,West Ham United,Leicester City
25/01/2020,2019-2020,West Ham United,West Bromwich Albion
29/01/2020,2019-2020,West Ham United,Liverpool FC
01/02/2020,2019-2020,West Ham United,Draw
19/02/2020,2019-2020,West Ham United,Manchester City
24/02/2020,2019-2020,West Ham United,Liverpool FC
29/02/2020,2019-2020,West Ham United,West Ham United
07/03/2020,2019-2020,West Ham United,Arsenal FC
20/06/2020,2019-2020,West Ham United,Wolverhampton Wanderers
23/06/2020,2019-2020,West Ham United,Tottenham Hotspur
