date,season,team,team_win
14/07/2019,2019-2020,Norwich City,Draw
19/07/2019,2019-2020,Norwich City,Norwich City
24/07/2019,2019-2020,Norwich City,Brentford FC
27/07/2019,2019-2020,Norwich City,Norwich City
30/07/2019,2019-2020,Norwich City,Atalanta
03/08/2019,2019-2020,Norwich City,FC Dordrecht
03/08/2019,2019-2020,Norwich City,Norwich City
09/08/2019,2019-2020,Norwich City,Liverpool FC
17/08/2019,2019-2020,Norwich City,Norwich City
24/08/2019,2019-2020,Norwich City,Chelsea FC
27/08/2019,2019-2020,Norwich City,Crawley Town
31/08/2019,2019-2020,Norwich City,West Ham United
14/09/2019,2019-2020,Norwich City,Norwich City
21/09/2019,2019-2020,Norwich City,Burnley FC
28/09/2019,2019-2020,Norwich City,Crystal Palace
05/10/2019,2019-2020,Norwich City,Aston Villa
19/10/2019,2019-2020,Norwich City,Draw
27/10/2019,2019-2020,Norwich City,Manchester United
02/11/2019,2019-2020,Norwich City,Brighton & Hove Albion
08/11/2019,2019-2020,Norwich City,Watford FC
23/11/2019,2019-2020,Norwich City,Norwich City
01/12/2019,2019-2020,Norwich City,Draw
04/12/2019,2019-2020,Norwich City,Southampton FC
08/12/2019,2019-2020,Norwich City,Sheffield United
14/12/2019,2019-2020,Norwich City,Draw
21/12/2019,2019-2020,Norwich City,Wolverhampton Wanderers
26/12/2019,2019-2020,Norwich City,Aston Villa
28/12/2019,2019-2020,Norwich City,Draw
01/01/2020,2019-2020,Norwich City,Draw
04/01/2020,2019-2020,Norwich City,Norwich City
11/01/2020,2019-2020,Norwich City,Manchester United
18/01/2020,2019-2020,Norwich City,Norwich City
22/01/2020,2019-2020,Norwich City,Tottenham Hotspur
25/01/2020,2019-2020,Norwich City,Norwich City
01/02/2020,2019-2020,Norwich City,Draw
15/02/2020,2019-2020,Norwich City,Liverpool FC
23/02/2020,2019-2020,Norwich City,Wolverhampton Wanderers
28/02/2020,2019-2020,Norwich City,Norwich City
04/03/2020,2019-2020,Norwich City,Norwich City
07/03/2020,2019-2020,Norwich City,Sheffield United
12/06/2020,2019-2020,Norwich City,Norwich City
19/06/2020,2019-2020,Norwich City,Southampton FC
24/06/2020,2019-2020,Norwich City,Everton FC
27/06/2020,2019-2020,Norwich City,Manchester United
