date,season,team,team_win
28/07/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
04/08/2021,2021-2022,Tottenham Hotspur,Draw
08/08/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
15/08/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
19/08/2021,2021-2022,Tottenham Hotspur,Paços de Ferreira
22/08/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
26/08/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
29/08/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
11/09/2021,2021-2022,Tottenham Hotspur,Crystal Palace
16/09/2021,2021-2022,Tottenham Hotspur,Draw
19/09/2021,2021-2022,Tottenham Hotspur,Chelsea FC
22/09/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
26/09/2021,2021-2022,Tottenham Hotspur,Arsenal FC
30/09/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
03/10/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
17/10/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
21/10/2021,2021-2022,Tottenham Hotspur,Vitesse
24/10/2021,2021-2022,Tottenham Hotspur,West Ham United
27/10/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
30/10/2021,2021-2022,Tottenham Hotspur,Manchester United
04/11/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
07/11/2021,2021-2022,Tottenham Hotspur,Draw
21/11/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
25/11/2021,2021-2022,Tottenham Hotspur,NŠ Mura
02/12/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
05/12/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
08/12/2021,2021-2022,Tottenham Hotspur,Stade Rennais
19/12/2021,2021-2022,Tottenham Hotspur,Draw
22/12/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
26/12/2021,2021-2022,Tottenham Hotspur,Tottenham Hotspur
28/12/2021,2021-2022,Tottenham Hotspur,Draw
01/01/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
05/01/2022,2021-2022,Tottenham Hotspur,Chelsea FC
09/01/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
12/01/2022,2021-2022,Tottenham Hotspur,Chelsea FC
19/01/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
23/01/2022,2021-2022,Tottenham Hotspur,Chelsea FC
05/02/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
09/02/2022,2021-2022,Tottenham Hotspur,Southampton FC
13/02/2022,2021-2022,Tottenham Hotspur,Wolverhampton Wanderers
19/02/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
23/02/2022,2021-2022,Tottenham Hotspur,Burnley FC
26/02/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
01/03/2022,2021-2022,Tottenham Hotspur,Middlesbrough FC
07/03/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
12/03/2022,2021-2022,Tottenham Hotspur,Manchester United
16/03/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
20/03/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
03/04/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
09/04/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
16/04/2022,2021-2022,Tottenham Hotspur,Brighton & Hove Albion
23/04/2022,2021-2022,Tottenham Hotspur,Draw
01/05/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
07/05/2022,2021-2022,Tottenham Hotspur,Draw
12/05/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
15/05/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
22/05/2022,2021-2022,Tottenham Hotspur,Tottenham Hotspur
