date,season,team,team_win
23/07/2021,2021-2022,Brentford FC,Brentford FC
28/07/2021,2021-2022,Brentford FC,Draw
31/07/2021,2021-2022,Brentford FC,West Ham United
04/08/2021,2021-2022,Brentford FC,Brentford FC
07/08/2021,2021-2022,Brentford FC,Brentford FC
13/08/2021,2021-2022,Brentford FC,Brentford FC
21/08/2021,2021-2022,Brentford FC,Draw
24/08/2021,2021-2022,Brentford FC,Brentford FC
28/08/2021,2021-2022,Brentford FC,Draw
11/09/2021,2021-2022,Brentford FC,Brighton & Hove Albion
18/09/2021,2021-2022,Brentford FC,Brentford FC
21/09/2021,2021-2022,Brentford FC,Brentford FC
25/09/2021,2021-2022,Brentford FC,Draw
03/10/2021,2021-2022,Brentford FC,Brentford FC
16/10/2021,2021-2022,Brentford FC,Chelsea FC
24/10/2021,2021-2022,Brentford FC,Leicester City
27/10/2021,2021-2022,Brentford FC,Brentford FC
30/10/2021,2021-2022,Brentford FC,Burnley FC
06/11/2021,2021-2022,Brentford FC,Norwich City
20/11/2021,2021-2022,Brentford FC,Draw
28/11/2021,2021-2022,Brentford FC,Brentford FC
02/12/2021,2021-2022,Brentford FC,Tottenham Hotspur
05/12/2021,2021-2022,Brentford FC,Draw
10/12/2021,2021-2022,Brentford FC,Brentford FC
22/12/2021,2021-2022,Brentford FC,Chelsea FC
26/12/2021,2021-2022,Brentford FC,Brighton & Hove Albion
29/12/2021,2021-2022,Brentford FC,Manchester City
02/01/2022,2021-2022,Brentford FC,Brentford FC
08/01/2022,2021-2022,Brentford FC,Brentford FC
11/01/2022,2021-2022,Brentford FC,Southampton FC
16/01/2022,2021-2022,Brentford FC,Liverpool FC
19/01/2022,2021-2022,Brentford FC,Manchester United
22/01/2022,2021-2022,Brentford FC,Wolverhampton Wanderers
05/02/2022,2021-2022,Brentford FC,Everton FC
09/02/2022,2021-2022,Brentford FC,Manchester City
12/02/2022,2021-2022,Brentford FC,Draw
19/02/2022,2021-2022,Brentford FC,Arsenal FC
26/02/2022,2021-2022,Brentford FC,Newcastle United
05/03/2022,2021-2022,Brentford FC,Brentford FC
12/03/2022,2021-2022,Brentford FC,Brentford FC
20/03/2022,2021-2022,Brentford FC,Leicester City
02/04/2022,2021-2022,Brentford FC,Brentford FC
10/04/2022,2021-2022,Brentford FC,Brentford FC
16/04/2022,2021-2022,Brentford FC,Brentford FC
23/04/2022,2021-2022,Brentford FC,Draw
02/05/2022,2021-2022,Brentford FC,Manchester United
07/05/2022,2021-2022,Brentford FC,Brentford FC
15/05/2022,2021-2022,Brentford FC,Brentford FC
22/05/2022,2021-2022,Brentford FC,Leeds United
