date,season,team,team_win
24/07/2021,2021-2022,Brighton & Hove Albion,Draw
07/08/2021,2021-2022,Brighton & Hove Albion,Getafe CF
14/08/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
21/08/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
24/08/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
28/08/2021,2021-2022,Brighton & Hove Albion,Everton FC
11/09/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
19/09/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
22/09/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
27/09/2021,2021-2022,Brighton & Hove Albion,Draw
02/10/2021,2021-2022,Brighton & Hove Albion,Draw
16/10/2021,2021-2022,Brighton & Hove Albion,Draw
23/10/2021,2021-2022,Brighton & Hove Albion,Manchester City
27/10/2021,2021-2022,Brighton & Hove Albion,Leicester City
30/10/2021,2021-2022,Brighton & Hove Albion,Draw
06/11/2021,2021-2022,Brighton & Hove Albion,Draw
20/11/2021,2021-2022,Brighton & Hove Albion,Aston Villa
27/11/2021,2021-2022,Brighton & Hove Albion,Draw
01/12/2021,2021-2022,Brighton & Hove Albion,Draw
04/12/2021,2021-2022,Brighton & Hove Albion,Draw
15/12/2021,2021-2022,Brighton & Hove Albion,Wolverhampton Wanderers
26/12/2021,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
29/12/2021,2021-2022,Brighton & Hove Albion,Draw
02/01/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
08/01/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
14/01/2022,2021-2022,Brighton & Hove Albion,Draw
18/01/2022,2021-2022,Brighton & Hove Albion,Draw
23/01/2022,2021-2022,Brighton & Hove Albion,Draw
05/02/2022,2021-2022,Brighton & Hove Albion,Tottenham Hotspur
12/02/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
15/02/2022,2021-2022,Brighton & Hove Albion,Manchester United
19/02/2022,2021-2022,Brighton & Hove Albion,Burnley FC
26/02/2022,2021-2022,Brighton & Hove Albion,Aston Villa
05/03/2022,2021-2022,Brighton & Hove Albion,Newcastle United
12/03/2022,2021-2022,Brighton & Hove Albion,Liverpool FC
16/03/2022,2021-2022,Brighton & Hove Albion,Tottenham Hotspur
02/04/2022,2021-2022,Brighton & Hove Albion,Draw
09/04/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
16/04/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
20/04/2022,2021-2022,Brighton & Hove Albion,Manchester City
24/04/2022,2021-2022,Brighton & Hove Albion,Draw
30/04/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
07/05/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
15/05/2022,2021-2022,Brighton & Hove Albion,Draw
22/05/2022,2021-2022,Brighton & Hove Albion,Brighton & Hove Albion
