date,season,team,team_win
24/07/2021,2021-2022,Southampton FC,Draw
27/07/2021,2021-2022,Southampton FC,Southampton FC
31/07/2021,2021-2022,Southampton FC,Southampton FC
04/08/2021,2021-2022,Southampton FC,Southampton FC
07/08/2021,2021-2022,Southampton FC,Athletic Club
14/08/2021,2021-2022,Southampton FC,Everton FC
22/08/2021,2021-2022,Southampton FC,Draw
25/08/2021,2021-2022,Southampton FC,Southampton FC
28/08/2021,2021-2022,Southampton FC,Draw
11/09/2021,2021-2022,Southampton FC,Draw
18/09/2021,2021-2022,Southampton FC,Draw
21/09/2021,2021-2022,Southampton FC,Southampton FC
26/09/2021,2021-2022,Southampton FC,Wolverhampton Wanderers
02/10/2021,2021-2022,Southampton FC,Chelsea FC
16/10/2021,2021-2022,Southampton FC,Southampton FC
23/10/2021,2021-2022,Southampton FC,Draw
26/10/2021,2021-2022,Southampton FC,Chelsea FC
30/10/2021,2021-2022,Southampton FC,Southampton FC
05/11/2021,2021-2022,Southampton FC,Southampton FC
20/11/2021,2021-2022,Southampton FC,Norwich City
27/11/2021,2021-2022,Southampton FC,Liverpool FC
01/12/2021,2021-2022,Southampton FC,Draw
04/12/2021,2021-2022,Southampton FC,Draw
11/12/2021,2021-2022,Southampton FC,Arsenal FC
15/12/2021,2021-2022,Southampton FC,Draw
26/12/2021,2021-2022,Southampton FC,Southampton FC
28/12/2021,2021-2022,Southampton FC,Draw
08/01/2022,2021-2022,Southampton FC,Southampton FC
11/01/2022,2021-2022,Southampton FC,Southampton FC
15/01/2022,2021-2022,Southampton FC,Wolverhampton Wanderers
22/01/2022,2021-2022,Southampton FC,Draw
05/02/2022,2021-2022,Southampton FC,Southampton FC
09/02/2022,2021-2022,Southampton FC,Southampton FC
12/02/2022,2021-2022,Southampton FC,Draw
19/02/2022,2021-2022,Southampton FC,Southampton FC
25/02/2022,2021-2022,Southampton FC,Southampton FC
02/03/2022,2021-2022,Southampton FC,Southampton FC
05/03/2022,2021-2022,Southampton FC,Aston Villa
10/03/2022,2021-2022,Southampton FC,Newcastle United
13/03/2022,2021-2022,Southampton FC,Watford FC
20/03/2022,2021-2022,Southampton FC,Manchester City
02/04/2022,2021-2022,Southampton FC,Draw
09/04/2022,2021-2022,Southampton FC,Chelsea FC
16/04/2022,2021-2022,Southampton FC,Southampton FC
21/04/2022,2021-2022,Southampton FC,Burnley FC
24/04/2022,2021-2022,Southampton FC,Draw
30/04/2022,2021-2022,Southampton FC,Crystal Palace
07/05/2022,2021-2022,Southampton FC,Brentford FC
17/05/2022,2021-2022,Southampton FC,Liverpool FC
22/05/2022,2021-2022,Southampton FC,Leicester City
