date,season,team,team_win
27/07/2021,2021-2022,Manchester City,Manchester City
31/07/2021,2021-2022,Manchester City,Manchester City
03/08/2021,2021-2022,Manchester City,Manchester City
07/08/2021,2021-2022,Manchester City,Leicester City
15/08/2021,2021-2022,Manchester City,Tottenham Hotspur
21/08/2021,2021-2022,Manchester City,Manchester City
28/08/2021,2021-2022,Manchester City,Manchester City
11/09/2021,2021-2022,Manchester City,Manchester City
15/09/2021,2021-2022,Manchester City,Manchester City
18/09/2021,2021-2022,Manchester City,Draw
21/09/2021,2021-2022,Manchester City,Manchester City
25/09/2021,2021-2022,Manchester City,Manchester City
28/09/2021,2021-2022,Manchester City,Paris Saint-Germain
03/10/2021,2021-2022,Manchester City,Draw
16/10/2021,2021-2022,Manchester City,Manchester City
19/10/2021,2021-2022,Manchester City,Manchester City
23/10/2021,2021-2022,Manchester City,Manchester City
27/10/2021,2021-2022,Manchester City,West Ham United
30/10/2021,2021-2022,Manchester City,Crystal Palace
03/11/2021,2021-2022,Manchester City,Manchester City
06/11/2021,2021-2022,Manchester City,Manchester City
21/11/2021,2021-2022,Manchester City,Manchester City
24/11/2021,2021-2022,Manchester City,Manchester City
28/11/2021,2021-2022,Manchester City,Manchester City
01/12/2021,2021-2022,Manchester City,Manchester City
04/12/2021,2021-2022,Manchester City,Manchester City
07/12/2021,2021-2022,Manchester City,RB Leipzig
11/12/2021,2021-2022,Manchester City,Manchester City
14/12/2021,2021-2022,Manchester City,Manchester City
19/12/2021,2021-2022,Manchester City,Manchester City
26/12/2021,2021-2022,Manchester City,Manchester City
29/12/2021,2021-2022,Manchester City,Manchester City
01/01/2022,2021-2022,Manchester City,Manchester City
07/01/2022,2021-2022,Manchester City,Manchester City
15/01/2022,2021-2022,Manchester City,Manchester City
22/01/2022,2021-2022,Manchester City,Draw
05/02/2022,2021-2022,Manchester City,Manchester City
09/02/2022,2021-2022,Manchester City,Manchester City
12/02/2022,2021-2022,Manchester City,Manchester City
15/02/2022,2021-2022,Manchester City,Manchester City
19/02/2022,2021-2022,Manchester City,Tottenham Hotspur
26/02/2022,2021-2022,Manchester City,Manchester City
01/03/2022,2021-2022,Manchester City,Manchester City
06/03/2022,2021-2022,Manchester City,Manchester City
09/03/2022,2021-2022,Manchester City,Draw
14/03/2022,2021-2022,Manchester City,Draw
20/03/2022,2021-2022,Manchester City,Manchester City
02/04/2022,2021-2022,Manchester City,Manchester City
05/04/2022,2021-2022,Manchester City,Manchester City
10/04/2022,2021-2022,Manchester City,Draw
13/04/2022,2021-2022,Manchester City,Draw
16/04/2022,2021-2022,Manchester City,Liverpool FC
20/04/2022,2021-2022,Manchester City,Manchester City
23/04/2022,2021-2022,Manchester City,Manchester City
26/04/2022,2021-2022,Manchester City,Manchester City
30/04/2022,2021-2022,Manchester City,Manchester City
04/05/2022,2021-2022,Manchester City,Real Madrid
08/05/2022,2021-2022,Manchester City,Manchester City
11/05/2022,2021-2022,Manchester City,Manchester City
15/05/2022,2021-2022,Manchester City,Draw
22/05/2022,2021-2022,Manchester City,Manchester City
