date,season,team,team_win
24/07/2021,2021-2022,Crystal Palace,Crystal Palace
27/07/2021,2021-2022,Crystal Palace,Draw
31/07/2021,2021-2022,Crystal Palace,Crystal Palace
07/08/2021,2021-2022,Crystal Palace,Crystal Palace
14/08/2021,2021-2022,Crystal Palace,Chelsea FC
21/08/2021,2021-2022,Crystal Palace,Draw
24/08/2021,2021-2022,Crystal Palace,Watford FC
28/08/2021,2021-2022,Crystal Palace,Draw
11/09/2021,2021-2022,Crystal Palace,Crystal Palace
18/09/2021,2021-2022,Crystal Palace,Liverpool FC
27/09/2021,2021-2022,Crystal Palace,Draw
03/10/2021,2021-2022,Crystal Palace,Draw
18/10/2021,2021-2022,Crystal Palace,Draw
23/10/2021,2021-2022,Crystal Palace,Draw
30/10/2021,2021-2022,Crystal Palace,Crystal Palace
06/11/2021,2021-2022,Crystal Palace,Crystal Palace
20/11/2021,2021-2022,Crystal Palace,Draw
27/11/2021,2021-2022,Crystal Palace,Aston Villa
30/11/2021,2021-2022,Crystal Palace,Leeds United
05/12/2021,2021-2022,Crystal Palace,Manchester United
12/12/2021,2021-2022,Crystal Palace,Crystal Palace
15/12/2021,2021-2022,Crystal Palace,Draw
26/12/2021,2021-2022,Crystal Palace,Tottenham Hotspur
28/12/2021,2021-2022,Crystal Palace,Crystal Palace
01/01/2022,2021-2022,Crystal Palace,West Ham United
08/01/2022,2021-2022,Crystal Palace,Crystal Palace
14/01/2022,2021-2022,Crystal Palace,Draw
23/01/2022,2021-2022,Crystal Palace,Liverpool FC
05/02/2022,2021-2022,Crystal Palace,Crystal Palace
09/02/2022,2021-2022,Crystal Palace,Draw
12/02/2022,2021-2022,Crystal Palace,Draw
19/02/2022,2021-2022,Crystal Palace,Chelsea FC
23/02/2022,2021-2022,Crystal Palace,Crystal Palace
26/02/2022,2021-2022,Crystal Palace,Draw
01/03/2022,2021-2022,Crystal Palace,Crystal Palace
05/03/2022,2021-2022,Crystal Palace,Crystal Palace
14/03/2022,2021-2022,Crystal Palace,Draw
20/03/2022,2021-2022,Crystal Palace,Crystal Palace
04/04/2022,2021-2022,Crystal Palace,Crystal Palace
10/04/2022,2021-2022,Crystal Palace,Leicester City
17/04/2022,2021-2022,Crystal Palace,Chelsea FC
20/04/2022,2021-2022,Crystal Palace,Newcastle United
25/04/2022,2021-2022,Crystal Palace,Draw
30/04/2022,2021-2022,Crystal Palace,Crystal Palace
07/05/2022,2021-2022,Crystal Palace,Crystal Palace
15/05/2022,2021-2022,Crystal Palace,Draw
19/05/2022,2021-2022,Crystal Palace,Everton FC
22/05/2022,2021-2022,Crystal Palace,Crystal Palace
