date,season,team,team_win
27/07/2021,2021-2022,Leeds United,Leeds United
28/07/2021,2021-2022,Leeds United,Draw
30/07/2021,2021-2022,Leeds United,Fleetwood Town
31/07/2021,2021-2022,Leeds United,Real Betis
04/08/2021,2021-2022,Leeds United,AFC Ajax
04/08/2021,2021-2022,Leeds United,AFC Ajax
07/08/2021,2021-2022,Leeds United,Draw
14/08/2021,2021-2022,Leeds United,Manchester United
21/08/2021,2021-2022,Leeds United,Draw
24/08/2021,2021-2022,Leeds United,Leeds United
29/08/2021,2021-2022,Leeds United,Draw
12/09/2021,2021-2022,Leeds United,Liverpool FC
17/09/2021,2021-2022,Leeds United,Draw
21/09/2021,2021-2022,Leeds United,Leeds United
25/09/2021,2021-2022,Leeds United,West Ham United
02/10/2021,2021-2022,Leeds United,Leeds United
16/10/2021,2021-2022,Leeds United,Southampton FC
23/10/2021,2021-2022,Leeds United,Draw
26/10/2021,2021-2022,Leeds United,Arsenal FC
31/10/2021,2021-2022,Leeds United,Leeds United
07/11/2021,2021-2022,Leeds United,Draw
21/11/2021,2021-2022,Leeds United,Tottenham Hotspur
27/11/2021,2021-2022,Leeds United,Draw
30/11/2021,2021-2022,Leeds United,Leeds United
05/12/2021,2021-2022,Leeds United,Draw
11/12/2021,2021-2022,Leeds United,Chelsea FC
14/12/2021,2021-2022,Leeds United,Manchester City
18/12/2021,2021-2022,Leeds United,Arsenal FC
02/01/2022,2021-2022,Leeds United,Leeds United
09/01/2022,2021-2022,Leeds United,West Ham United
16/01/2022,2021-2022,Leeds United,Leeds United
22/01/2022,2021-2022,Leeds United,Newcastle United
09/02/2022,2021-2022,Leeds United,Draw
12/02/2022,2021-2022,Leeds United,Everton FC
20/02/2022,2021-2022,Leeds United,Manchester United
23/02/2022,2021-2022,Leeds United,Liverpool FC
26/02/2022,2021-2022,Leeds United,Tottenham Hotspur
05/03/2022,2021-2022,Leeds United,Leicester City
10/03/2022,2021-2022,Leeds United,Aston Villa
13/03/2022,2021-2022,Leeds United,Leeds United
18/03/2022,2021-2022,Leeds United,Leeds United
02/04/2022,2021-2022,Leeds United,Draw
09/04/2022,2021-2022,Leeds United,Leeds United
25/04/2022,2021-2022,Leeds United,Draw
30/04/2022,2021-2022,Leeds United,Manchester City
08/05/2022,2021-2022,Leeds United,Arsenal FC
11/05/2022,2021-2022,Leeds United,Chelsea FC
15/05/2022,2021-2022,Leeds United,Draw
22/05/2022,2021-2022,Leeds United,Leeds United
