date,season,team,team_win
24/07/2021,2021-2022,Burnley FC,Burnley FC
27/07/2021,2021-2022,Burnley FC,Burnley FC
07/08/2021,2021-2022,Burnley FC,Cádiz CF
14/08/2021,2021-2022,Burnley FC,Brighton & Hove Albion
21/08/2021,2021-2022,Burnley FC,Liverpool FC
25/08/2021,2021-2022,Burnley FC,Burnley FC
29/08/2021,2021-2022,Burnley FC,Draw
13/09/2021,2021-2022,Burnley FC,Everton FC
18/09/2021,2021-2022,Burnley FC,Arsenal FC
21/09/2021,2021-2022,Burnley FC,Burnley FC
25/09/2021,2021-2022,Burnley FC,Draw
02/10/2021,2021-2022,Burnley FC,Draw
16/10/2021,2021-2022,Burnley FC,Manchester City
23/10/2021,2021-2022,Burnley FC,Draw
27/10/2021,2021-2022,Burnley FC,Tottenham Hotspur
30/10/2021,2021-2022,Burnley FC,Burnley FC
06/11/2021,2021-2022,Burnley FC,Draw
20/11/2021,2021-2022,Burnley FC,Draw
01/12/2021,2021-2022,Burnley FC,Draw
04/12/2021,2021-2022,Burnley FC,Newcastle United
12/12/2021,2021-2022,Burnley FC,Draw
30/12/2021,2021-2022,Burnley FC,Manchester United
02/01/2022,2021-2022,Burnley FC,Leeds United
08/01/2022,2021-2022,Burnley FC,Huddersfield Town
23/01/2022,2021-2022,Burnley FC,Draw
05/02/2022,2021-2022,Burnley FC,Draw
08/02/2022,2021-2022,Burnley FC,Draw
13/02/2022,2021-2022,Burnley FC,Liverpool FC
19/02/2022,2021-2022,Burnley FC,Burnley FC
23/02/2022,2021-2022,Burnley FC,Burnley FC
26/02/2022,2021-2022,Burnley FC,Draw
01/03/2022,2021-2022,Burnley FC,Leicester City
05/03/2022,2021-2022,Burnley FC,Chelsea FC
12/03/2022,2021-2022,Burnley FC,Brentford FC
02/04/2022,2021-2022,Burnley FC,Manchester City
06/04/2022,2021-2022,Burnley FC,Burnley FC
10/04/2022,2021-2022,Burnley FC,Norwich City
17/04/2022,2021-2022,Burnley FC,Draw
21/04/2022,2021-2022,Burnley FC,Burnley FC
24/04/2022,2021-2022,Burnley FC,Burnley FC
30/04/2022,2021-2022,Burnley FC,Burnley FC
07/05/2022,2021-2022,Burnley FC,Aston Villa
15/05/2022,2021-2022,Burnley FC,Tottenham Hotspur
19/05/2022,2021-2022,Burnley FC,Draw
22/05/2022,2021-2022,Burnley FC,Newcastle United
