date,season,team,team_win
13/07/2024,2024-2025,Nottingham Forest,Nottingham Forest
19/07/2024,2024-2025,Nottingham Forest,Draw
23/07/2024,2024-2025,Nottingham Forest,Nottingham Forest
26/07/2024,2024-2025,Nottingham Forest,Elche CF
02/08/2024,2024-2025,Nottingham Forest,Draw
08/08/2024,2024-2025,Nottingham Forest,Nottingham Forest
17/08/2024,2024-2025,Nottingham Forest,Draw
24/08/2024,2024-2025,Nottingham Forest,Nottingham Forest
28/08/2024,2024-2025,Nottingham Forest,Newcastle United
31/08/2024,2024-2025,Nottingham Forest,Draw
14/09/2024,2024-2025,Nottingham Forest,Nottingham Forest
22/09/2024,2024-2025,Nottingham Forest,Draw
28/09/2024,2024-2025,Nottingham Forest,Fulham FC
06/10/2024,2024-2025,Nottingham Forest,Draw
21/10/2024,2024-2025,Nottingham Forest,Nottingham Forest
25/10/2024,2024-2025,Nottingham Forest,Nottingham Forest
02/11/2024,2024-2025,Nottingham Forest,Nottingham Forest
10/11/2024,2024-2025,Nottingham Forest,Newcastle United
23/11/2024,2024-2025,Nottingham Forest,Arsenal FC
30/11/2024,2024-2025,Nottingham Forest,Nottingham Forest
04/12/2024,2024-2025,Nottingham Forest,Manchester City
07/12/2024,2024-2025,Nottingham Forest,Nottingham Forest
14/12/2024,2024-2025,Nottingham Forest,Nottingham Forest
21/12/2024,2024-2025,Nottingham Forest,Nottingham Forest
26/12/2024,2024-2025,Nottingham Forest,Nottingham Forest
29/12/2024,2024-2025,Nottingham Forest,Nottingham Forest
06/01/2025,2024-2025,Nottingham Forest,Nottingham Forest
11/01/2025,2024-2025,Nottingham Forest,Nottingham Forest
14/01/2025,2024-2025,Nottingham Forest,Draw
19/01/2025,2024-2025,Nottingham Forest,Nottingham Forest
25/01/2025,2024-2025,Nottingham Forest,AFC Bournemouth
01/02/2025,2024-2025,Nottingham Forest,Nottingham Forest
11/02/2025,2024-2025,Nottingham Forest,Nottingham Forest
15/02/2025,2024-2025,Nottingham Forest,Fulham FC
23/02/2025,2024-2025,Nottingham Forest,Newcastle United
26/02/2025,2024-2025,Nottingham Forest,Draw
03/03/2025,2024-2025,Nottingham Forest,Nottingham Forest
08/03/2025,2024-2025,Nottingham Forest,Nottingham Forest
15/03/2025,2024-2025,Nottingham Forest,Nottingham Forest
29/03/2025,2024-2025,Nottingham Forest,Nottingham Forest
01/04/2025,2024-2025,Nottingham Forest,Nottingham Forest
05/04/2025,2024-2025,Nottingham Forest,Aston Villa
12/04/2025,2024-2025,Nottingham Forest,Everton FC
21/04/2025,2024-2025,Nottingham Forest,Nottingham Forest
27/04/2025,2024-2025,Nottingham Forest,Manchester City
01/05/2025,2024-2025,Nottingham Forest,Brentford FC
05/05/2025,2024-2025,Nottingham Forest,Draw
11/05/2025,2024-2025,Nottingham Forest,Draw
18/05/2025,2024-2025,Nottingham Forest,Nottingham Forest
25/05/2025,2024-2025,Nottingham Forest,Chelsea FC
