date,season,team,team_win
26/07/2024,2024-2025,Liverpool FC,Liverpool FC
31/07/2024,2024-2025,Liverpool FC,Liverpool FC
03/08/2024,2024-2025,Liverpool FC,Liverpool FC
11/08/2024,2024-2025,Liverpool FC,Liverpool FC
11/08/2024,2024-2025,Liverpool FC,Draw
17/08/2024,2024-2025,Liverpool FC,Liverpool FC
25/08/2024,2024-2025,Liverpool FC,Liverpool FC
01/09/2024,2024-2025,Liverpool FC,Liverpool FC
14/09/2024,2024-2025,Liverpool FC,Nottingham Forest
17/09/2024,2024-2025,Liverpool FC,Liverpool FC
21/09/2024,2024-2025,Liverpool FC,Liverpool FC
25/09/2024,2024-2025,Liverpool FC,Liverpool FC
28/09/2024,2024-2025,Liverpool FC,Liverpool FC
02/10/2024,2024-2025,Liverpool FC,Liverpool FC
05/10/2024,2024-2025,Liverpool FC,Liverpool FC
20/10/2024,2024-2025,Liverpool FC,Liverpool FC
23/10/2024,2024-2025,Liverpool FC,Liverpool FC
27/10/2024,2024-2025,Liverpool FC,Draw
30/10/2024,2024-2025,Liverpool FC,Liverpool FC
02/11/2024,2024-2025,Liverpool FC,Liverpool FC
05/11/2024,2024-2025,Liverpool FC,Liverpool FC
09/11/2024,2024-2025,Liverpool FC,Liverpool FC
24/11/2024,2024-2025,Liverpool FC,Liverpool FC
27/11/2024,2024-2025,Liverpool FC,Liverpool FC
01/12/2024,2024-2025,Liverpool FC,Liverpool FC
04/12/2024,2024-2025,Liverpool FC,Draw
10/12/2024,2024-2025,Liverpool FC,Liverpool FC
14/12/2024,2024-2025,Liverpool FC,Draw
18/12/2024,2024-2025,Liverpool FC,Liverpool FC
22/12/2024,2024-2025,Liverpool FC,Liverpool FC
26/12/2024,2024-2025,Liverpool FC,Liverpool FC
29/12/2024,2024-2025,Liverpool FC,Liverpool FC
05/01/2025,2024-2025,Liverpool FC,Draw
08/01/2025,2024-2025,Liverpool FC,Tottenham Hotspur
11/01/2025,2024-2025,Liverpool FC,Liverpool FC
14/01/2025,2024-2025,Liverpool FC,Draw
18/01/2025,2024-2025,Liverpool FC,Liverpool FC
21/01/2025,2024-2025,Liverpool FC,Liverpool FC
25/01/2025,2024-2025,Liverpool FC,Liverpool FC
29/01/2025,2024-2025,Liverpool FC,PSV Eindhoven
01/02/2025,2024-2025,Liverpool FC,Liverpool FC
06/02/2025,2024-2025,Liverpool FC,Liverpool FC
09/02/2025,2024-2025,Liverpool FC,Plymouth Argyle
12/02/2025,2024-2025,Liverpool FC,Draw
16/02/2025,2024-2025,Liverpool FC,Liverpool FC
19/02/2025,2024-2025,Liverpool FC,Draw
23/02/2025,2024-2025,Liverpool FC,Liverpool FC
26/02/2025,2024-2025,Liverpool FC,Liverpool FC
05/03/2025,2024-2025,Liverpool FC,Liverpool FC
08/03/2025,2024-2025,Liverpool FC,Liverpool FC
11/03/2025,2024-2025,Liverpool FC,Paris Saint-Germain
16/03/2025,2024-2025,Liverpool FC,Newcastle United
02/04/2025,2024-2025,Liverpool FC,Liverpool FC
06/04/2025,2024-2025,Liverpool FC,Fulham FC
13/04/2025,2024-2025,Liverpool FC,Liverpool FC
20/04/2025,2024-2025,Liverpool FC,Liverpool FC
27/04/2025,2024-2025,Liverpool FC,Liverpool FC
04/05/2025,2024-2025,Liverpool FC,Chelsea FC
11/05/2025,2024-2025,Liverpool FC,Draw
19/05/2025,2024-2025,Liverpool FC,Brighton & Hove Albion
25/05/2025,2024-2025,Liverpool FC,Draw
