date,season,team,team_win
20/07/2024,2024-2025,Brentford FC,Brentford FC
25/07/2024,2024-2025,Brentford FC,Draw
30/07/2024,2024-2025,Brentford FC,Estrela Amadora
03/08/2024,2024-2025,Brentford FC,Draw
09/08/2024,2024-2025,Brentford FC,Draw
18/08/2024,2024-2025,Brentford FC,Brentford FC
25/08/2024,2024-2025,Brentford FC,Liverpool FC
28/08/2024,2024-2025,Brentford FC,Brentford FC
31/08/2024,2024-2025,Brentford FC,Brentford FC
14/09/2024,2024-2025,Brentford FC,Manchester City
17/09/2024,2024-2025,Brentford FC,Brentford FC
21/09/2024,2024-2025,Brentford FC,Tottenham Hotspur
28/09/2024,2024-2025,Brentford FC,Draw
05/10/2024,2024-2025,Brentford FC,Brentford FC
19/10/2024,2024-2025,Brentford FC,Manchester United
26/10/2024,2024-2025,Brentford FC,Brentford FC
29/10/2024,2024-2025,Brentford FC,Brentford FC
04/11/2024,2024-2025,Brentford FC,Fulham FC
09/11/2024,2024-2025,Brentford FC,Brentford FC
23/11/2024,2024-2025,Brentford FC,Draw
30/11/2024,2024-2025,Brentford FC,Brentford FC
04/12/2024,2024-2025,Brentford FC,Aston Villa
07/12/2024,2024-2025,Brentford FC,Brentford FC
15/12/2024,2024-2025,Brentford FC,Chelsea FC
18/12/2024,2024-2025,Brentford FC,Newcastle United
21/12/2024,2024-2025,Brentford FC,Nottingham Forest
27/12/2024,2024-2025,Brentford FC,Draw
01/01/2025,2024-2025,Brentford FC,Arsenal FC
04/01/2025,2024-2025,Brentford FC,Brentford FC
11/01/2025,2024-2025,Brentford FC,Plymouth Argyle
14/01/2025,2024-2025,Brentford FC,Draw
18/01/2025,2024-2025,Brentford FC,Liverpool FC
26/01/2025,2024-2025,Brentford FC,Brentford FC
02/02/2025,2024-2025,Brentford FC,Tottenham Hotspur
15/02/2025,2024-2025,Brentford FC,Brentford FC
21/02/2025,2024-2025,Brentford FC,Brentford FC
26/02/2025,2024-2025,Brentford FC,Draw
08/03/2025,2024-2025,Brentford FC,Aston Villa
15/03/2025,2024-2025,Brentford FC,Brentford FC
02/04/2025,2024-2025,Brentford FC,Newcastle United
06/04/2025,2024-2025,Brentford FC,Draw
12/04/2025,2024-2025,Brentford FC,Draw
19/04/2025,2024-2025,Brentford FC,Brentford FC
01/05/2025,2024-2025,Brentford FC,Brentford FC
04/05/2025,2024-2025,Brentford FC,Brentford FC
10/05/2025,2024-2025,Brentford FC,Brentford FC
18/05/2025,2024-2025,Brentford FC,Fulham FC
25/05/2025,2024-2025,Brentford FC,Draw
