date,season,team,team_win
10/08/2015,2015-2016,West Bromwich Albion,Manchester City
15/08/2015,2015-2016,West Bromwich Albion,Draw
23/08/2015,2015-2016,West Bromwich Albion,Chelsea FC
25/08/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
29/08/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
12/09/2015,2015-2016,West Bromwich Albion,Draw
19/09/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
23/09/2015,2015-2016,West Bromwich Albion,Norwich City
28/09/2015,2015-2016,West Bromwich Albion,Everton FC
03/10/2015,2015-2016,West Bromwich Albion,Crystal Palace
17/10/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
24/10/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
31/10/2015,2015-2016,West Bromwich Albion,Leicester City
07/11/2015,2015-2016,West Bromwich Albion,Manchester United
21/11/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
29/11/2015,2015-2016,West Bromwich Albion,Draw
05/12/2015,2015-2016,West Bromwich Albion,Draw
13/12/2015,2015-2016,West Bromwich Albion,Draw
19/12/2015,2015-2016,West Bromwich Albion,AFC Bournemouth
26/12/2015,2015-2016,West Bromwich Albion,Swansea City
28/12/2015,2015-2016,West Bromwich Albion,West Bromwich Albion
02/01/2016,2015-2016,West Bromwich Albion,West Bromwich Albion
09/01/2016,2015-2016,West Bromwich Albion,Draw
13/01/2016,2015-2016,West Bromwich Albion,Draw
16/01/2016,2015-2016,West Bromwich Albion,Southampton FC
19/01/2016,2015-2016,West Bromwich Albion,West Bromwich Albion
23/01/2016,2015-2016,West Bromwich Albion,Draw
30/01/2016,2015-2016,West Bromwich Albion,Draw
02/02/2016,2015-2016,West Bromwich Albion,Draw
06/02/2016,2015-2016,West Bromwich Albion,Newcastle United
10/02/2016,2015-2016,West Bromwich Albion,West Bromwich Albion
13/02/2016,2015-2016,West Bromwich Albion,West Bromwich Albion
20/02/2016,2015-2016,West Bromwich Albion,Reading FC
27/02/2016,2015-2016,West Bromwich Albion,West Bromwich Albion
01/03/2016,2015-2016,West Bromwich Albion,Draw
06/03/2016,2015-2016,West Bromwich Albion,West Bromwich Albion
19/03/2016,2015-2016,West Bromwich Albion,Norwich City
02/04/2016,2015-2016,West Bromwich Albion,Draw
09/04/2016,2015-2016,West Bromwich Albion,Manchester City
16/04/2016,2015-2016,West Bromwich Albion,Watford FC
21/04/2016,2015-2016,West Bromwich Albion,Arsenal FC
25/04/2016,2015-2016,West Bromwich Albion,Draw
30/04/2016,2015-2016,West Bromwich Albion,West Ham United
07/05/2016,2015-2016,West Bromwich Albion,Draw
15/05/2016,2015-2016,West Bromwich Albion,Draw
