date,season,team,team_win
08/08/2015,2015-2016,Manchester United,Manchester United
14/08/2015,2015-2016,Manchester United,Manchester United
18/08/2015,2015-2016,Manchester United,Manchester United
22/08/2015,2015-2016,Manchester United,Draw
26/08/2015,2015-2016,Manchester United,Manchester United
30/08/2015,2015-2016,Manchester United,Swansea City
12/09/2015,2015-2016,Manchester United,Manchester United
15/09/2015,2015-2016,Manchester United,PSV Eindhoven
20/09/2015,2015-2016,Manchester United,Manchester United
23/09/2015,2015-2016,Manchester United,Manchester United
26/09/2015,2015-2016,Manchester United,Manchester United
30/09/2015,2015-2016,Manchester United,Manchester United
04/10/2015,2015-2016,Manchester United,Arsenal FC
17/10/2015,2015-2016,Manchester United,Manchester United
21/10/2015,2015-2016,Manchester United,Draw
25/10/2015,2015-2016,Manchester United,Draw
28/10/2015,2015-2016,Manchester United,Middlesbrough FC
31/10/2015,2015-2016,Manchester United,Draw
03/11/2015,2015-2016,Manchester United,Manchester United
07/11/2015,2015-2016,Manchester United,Manchester United
21/11/2015,2015-2016,Manchester United,Manchester United
25/11/2015,2015-2016,Manchester United,Draw
28/11/2015,2015-2016,Manchester United,Draw
05/12/2015,2015-2016,Manchester United,Draw
08/12/2015,2015-2016,Manchester United,VfL Wolfsburg
12/12/2015,2015-2016,Manchester United,AFC Bournemouth
19/12/2015,2015-2016,Manchester United,Norwich City
26/12/2015,2015-2016,Manchester United,Stoke City
28/12/2015,2015-2016,Manchester United,Draw
02/01/2016,2015-2016,Manchester United,Manchester United
09/01/2016,2015-2016,Manchester United,Manchester United
12/01/2016,2015-2016,Manchester United,Draw
17/01/2016,2015-2016,Manchester United,Manchester United
23/01/2016,2015-2016,Manchester United,Southampton FC
29/01/2016,2015-2016,Manchester United,Manchester United
02/02/2016,2015-2016,Manchester United,Manchester United
07/02/2016,2015-2016,Manchester United,Draw
13/02/2016,2015-2016,Manchester United,Sunderland AFC
18/02/2016,2015-2016,Manchester United,FC Midtjylland
22/02/2016,2015-2016,Manchester United,Manchester United
25/02/2016,2015-2016,Manchester United,Manchester United
28/02/2016,2015-2016,Manchester United,Manchester United
02/03/2016,2015-2016,Manchester United,Manchester United
06/03/2016,2015-2016,Manchester United,West Bromwich Albion
10/03/2016,2015-2016,Manchester United,Liverpool FC
13/03/2016,2015-2016,Manchester United,Draw
17/03/2016,2015-2016,Manchester United,Draw
20/03/2016,2015-2016,Manchester United,Manchester United
03/04/2016,2015-2016,Manchester United,Manchester United
10/04/2016,2015-2016,Manchester United,Tottenham Hotspur
13/04/2016,2015-2016,Manchester United,Manchester United
16/04/2016,2015-2016,Manchester United,Manchester United
20/04/2016,2015-2016,Manchester United,Manchester United
23/04/2016,2015-2016,Manchester United,Manchester United
01/05/2016,2015-2016,Manchester United,Draw
07/05/2016,2015-2016,Manchester United,Manchester United
10/05/2016,2015-2016,Manchester United,West Ham United
17/05/2016,2015-2016,Manchester United,Manchester United
21/05/2016,2015-2016,Manchester United,Manchester United
