date,season,team,team_win
08/08/2015,2015-2016,Aston Villa,Aston Villa
14/08/2015,2015-2016,Aston Villa,Manchester United
22/08/2015,2015-2016,Aston Villa,Crystal Palace
25/08/2015,2015-2016,Aston Villa,Aston Villa
29/08/2015,2015-2016,Aston Villa,Draw
13/09/2015,2015-2016,Aston Villa,Leicester City
19/09/2015,2015-2016,Aston Villa,West Bromwich Albion
22/09/2015,2015-2016,Aston Villa,Aston Villa
26/09/2015,2015-2016,Aston Villa,Liverpool FC
03/10/2015,2015-2016,Aston Villa,Stoke City
17/10/2015,2015-2016,Aston Villa,Chelsea FC
24/10/2015,2015-2016,Aston Villa,Swansea City
28/10/2015,2015-2016,Aston Villa,Southampton FC
02/11/2015,2015-2016,Aston Villa,Tottenham Hotspur
08/11/2015,2015-2016,Aston Villa,Draw
21/11/2015,2015-2016,Aston Villa,Everton FC
28/11/2015,2015-2016,Aston Villa,Watford FC
05/12/2015,2015-2016,Aston Villa,Draw
13/12/2015,2015-2016,Aston Villa,Arsenal FC
19/12/2015,2015-2016,Aston Villa,Draw
26/12/2015,2015-2016,Aston Villa,Draw
28/12/2015,2015-2016,Aston Villa,Norwich City
02/01/2016,2015-2016,Aston Villa,Sunderland AFC
09/01/2016,2015-2016,Aston Villa,Draw
12/01/2016,2015-2016,Aston Villa,Aston Villa
16/01/2016,2015-2016,Aston Villa,Draw
19/01/2016,2015-2016,Aston Villa,Aston Villa
23/01/2016,2015-2016,Aston Villa,Draw
30/01/2016,2015-2016,Aston Villa,Manchester City
02/02/2016,2015-2016,Aston Villa,West Ham United
06/02/2016,2015-2016,Aston Villa,Aston Villa
14/02/2016,2015-2016,Aston Villa,Liverpool FC
27/02/2016,2015-2016,Aston Villa,Stoke City
01/03/2016,2015-2016,Aston Villa,Everton FC
05/03/2016,2015-2016,Aston Villa,Manchester City
13/03/2016,2015-2016,Aston Villa,Tottenham Hotspur
19/03/2016,2015-2016,Aston Villa,Swansea City
02/04/2016,2015-2016,Aston Villa,Chelsea FC
09/04/2016,2015-2016,Aston Villa,AFC Bournemouth
16/04/2016,2015-2016,Aston Villa,Manchester United
23/04/2016,2015-2016,Aston Villa,Southampton FC
30/04/2016,2015-2016,Aston Villa,Watford FC
07/05/2016,2015-2016,Aston Villa,Draw
15/05/2016,2015-2016,Aston Villa,Arsenal FC
