date,season,team,team_win
02/08/2015,2015-2016,Arsenal FC,Arsenal FC
09/08/2015,2015-2016,Arsenal FC,West Ham United
16/08/2015,2015-2016,Arsenal FC,Arsenal FC
24/08/2015,2015-2016,Arsenal FC,Draw
29/08/2015,2015-2016,Arsenal FC,Arsenal FC
12/09/2015,2015-2016,Arsenal FC,Arsenal FC
16/09/2015,2015-2016,Arsenal FC,Dinamo Zagreb
19/09/2015,2015-2016,Arsenal FC,Chelsea FC
23/09/2015,2015-2016,Arsenal FC,Arsenal FC
26/09/2015,2015-2016,Arsenal FC,Arsenal FC
29/09/2015,2015-2016,Arsenal FC,Olympiacos FC
04/10/2015,2015-2016,Arsenal FC,Arsenal FC
17/10/2015,2015-2016,Arsenal FC,Arsenal FC
20/10/2015,2015-2016,Arsenal FC,Arsenal FC
24/10/2015,2015-2016,Arsenal FC,Arsenal FC
27/10/2015,2015-2016,Arsenal FC,Sheffield Wednesday
31/10/2015,2015-2016,Arsenal FC,Arsenal FC
04/11/2015,2015-2016,Arsenal FC,Bayern Munich
08/11/2015,2015-2016,Arsenal FC,Draw
21/11/2015,2015-2016,Arsenal FC,West Bromwich Albion
24/11/2015,2015-2016,Arsenal FC,Arsenal FC
29/11/2015,2015-2016,Arsenal FC,Draw
05/12/2015,2015-2016,Arsenal FC,Arsenal FC
09/12/2015,2015-2016,Arsenal FC,Arsenal FC
13/12/2015,2015-2016,Arsenal FC,Arsenal FC
21/12/2015,2015-2016,Arsenal FC,Arsenal FC
26/12/2015,2015-2016,Arsenal FC,Southampton FC
28/12/2015,2015-2016,Arsenal FC,Arsenal FC
02/01/2016,2015-2016,Arsenal FC,Arsenal FC
09/01/2016,2015-2016,Arsenal FC,Arsenal FC
13/01/2016,2015-2016,Arsenal FC,Draw
17/01/2016,2015-2016,Arsenal FC,Draw
24/01/2016,2015-2016,Arsenal FC,Chelsea FC
30/01/2016,2015-2016,Arsenal FC,Arsenal FC
02/02/2016,2015-2016,Arsenal FC,Draw
07/02/2016,2015-2016,Arsenal FC,Arsenal FC
14/02/2016,2015-2016,Arsenal FC,Arsenal FC
20/02/2016,2015-2016,Arsenal FC,Draw
23/02/2016,2015-2016,Arsenal FC,FC Barcelona
28/02/2016,2015-2016,Arsenal FC,Manchester United
02/03/2016,2015-2016,Arsenal FC,Swansea City
05/03/2016,2015-2016,Arsenal FC,Draw
08/03/2016,2015-2016,Arsenal FC,Arsenal FC
13/03/2016,2015-2016,Arsenal FC,Watford FC
16/03/2016,2015-2016,Arsenal FC,FC Barcelona
19/03/2016,2015-2016,Arsenal FC,Arsenal FC
02/04/2016,2015-2016,Arsenal FC,Arsenal FC
09/04/2016,2015-2016,Arsenal FC,Draw
17/04/2016,2015-2016,Arsenal FC,Draw
21/04/2016,2015-2016,Arsenal FC,Arsenal FC
24/04/2016,2015-2016,Arsenal FC,Draw
30/04/2016,2015-2016,Arsenal FC,Arsenal FC
08/05/2016,2015-2016,Arsenal FC,Draw
15/05/2016,2015-2016,Arsenal FC,Arsenal FC
