date,season,team,team_win
09/08/2015,2015-2016,Stoke City,Liverpool FC
15/08/2015,2015-2016,Stoke City,Draw
22/08/2015,2015-2016,Stoke City,Draw
25/08/2015,2015-2016,Stoke City,Stoke City
29/08/2015,2015-2016,Stoke City,West Bromwich Albion
12/09/2015,2015-2016,Stoke City,Arsenal FC
19/09/2015,2015-2016,Stoke City,Draw
22/09/2015,2015-2016,Stoke City,Stoke City
26/09/2015,2015-2016,Stoke City,Stoke City
03/10/2015,2015-2016,Stoke City,Stoke City
19/10/2015,2015-2016,Stoke City,Stoke City
24/10/2015,2015-2016,Stoke City,Watford FC
27/10/2015,2015-2016,Stoke City,Stoke City
31/10/2015,2015-2016,Stoke City,Draw
07/11/2015,2015-2016,Stoke City,Stoke City
21/11/2015,2015-2016,Stoke City,Stoke City
28/11/2015,2015-2016,Stoke City,Sunderland AFC
01/12/2015,2015-2016,Stoke City,Stoke City
05/12/2015,2015-2016,Stoke City,Stoke City
12/12/2015,2015-2016,Stoke City,Draw
19/12/2015,2015-2016,Stoke City,Crystal Palace
26/12/2015,2015-2016,Stoke City,Stoke City
28/12/2015,2015-2016,Stoke City,Stoke City
02/01/2016,2015-2016,Stoke City,West Bromwich Albion
05/01/2016,2015-2016,Stoke City,Liverpool FC
09/01/2016,2015-2016,Stoke City,Stoke City
13/01/2016,2015-2016,Stoke City,Stoke City
17/01/2016,2015-2016,Stoke City,Draw
23/01/2016,2015-2016,Stoke City,Leicester City
26/01/2016,2015-2016,Stoke City,Liverpool FC
30/01/2016,2015-2016,Stoke City,Crystal Palace
02/02/2016,2015-2016,Stoke City,Manchester United
06/02/2016,2015-2016,Stoke City,Everton FC
13/02/2016,2015-2016,Stoke City,Stoke City
27/02/2016,2015-2016,Stoke City,Stoke City
02/03/2016,2015-2016,Stoke City,Stoke City
05/03/2016,2015-2016,Stoke City,Draw
12/03/2016,2015-2016,Stoke City,Southampton FC
19/03/2016,2015-2016,Stoke City,Stoke City
02/04/2016,2015-2016,Stoke City,Draw
10/04/2016,2015-2016,Stoke City,Liverpool FC
18/04/2016,2015-2016,Stoke City,Tottenham Hotspur
23/04/2016,2015-2016,Stoke City,Manchester City
30/04/2016,2015-2016,Stoke City,Draw
07/05/2016,2015-2016,Stoke City,Crystal Palace
15/05/2016,2015-2016,Stoke City,Stoke City
