date,season,team,team_win
08/08/2015,2015-2016,Norwich City,Crystal Palace
15/08/2015,2015-2016,Norwich City,Norwich City
22/08/2015,2015-2016,Norwich City,Draw
25/08/2015,2015-2016,Norwich City,Norwich City
30/08/2015,2015-2016,Norwich City,Southampton FC
12/09/2015,2015-2016,Norwich City,Norwich City
20/09/2015,2015-2016,Norwich City,Draw
23/09/2015,2015-2016,Norwich City,Norwich City
26/09/2015,2015-2016,Norwich City,Draw
03/10/2015,2015-2016,Norwich City,Leicester City
18/10/2015,2015-2016,Norwich City,Newcastle United
24/10/2015,2015-2016,Norwich City,West Bromwich Albion
27/10/2015,2015-2016,Norwich City,Everton FC
31/10/2015,2015-2016,Norwich City,Manchester City
07/11/2015,2015-2016,Norwich City,Norwich City
21/11/2015,2015-2016,Norwich City,Chelsea FC
29/11/2015,2015-2016,Norwich City,Draw
05/12/2015,2015-2016,Norwich City,Watford FC
12/12/2015,2015-2016,Norwich City,Draw
19/12/2015,2015-2016,Norwich City,Norwich City
26/12/2015,2015-2016,Norwich City,Tottenham Hotspur
28/12/2015,2015-2016,Norwich City,Norwich City
02/01/2016,2015-2016,Norwich City,Norwich City
09/01/2016,2015-2016,Norwich City,Manchester City
13/01/2016,2015-2016,Norwich City,Stoke City
16/01/2016,2015-2016,Norwich City,AFC Bournemouth
23/01/2016,2015-2016,Norwich City,Liverpool FC
02/02/2016,2015-2016,Norwich City,Tottenham Hotspur
06/02/2016,2015-2016,Norwich City,Aston Villa
13/02/2016,2015-2016,Norwich City,Draw
27/02/2016,2015-2016,Norwich City,Leicester City
01/03/2016,2015-2016,Norwich City,Chelsea FC
05/03/2016,2015-2016,Norwich City,Swansea City
12/03/2016,2015-2016,Norwich City,Draw
19/03/2016,2015-2016,Norwich City,Norwich City
02/04/2016,2015-2016,Norwich City,Norwich City
09/04/2016,2015-2016,Norwich City,Crystal Palace
16/04/2016,2015-2016,Norwich City,Sunderland AFC
30/04/2016,2015-2016,Norwich City,Arsenal FC
07/05/2016,2015-2016,Norwich City,Manchester United
11/05/2016,2015-2016,Norwich City,Norwich City
15/05/2016,2015-2016,Norwich City,Everton FC
