Model,Test_Accuracy,CV_Mean,CV_Std,Overfitting_Gap
Xgboost,59.4%,60.7%,0.6%,25.4%
Lightgbm,58.8%,61.1%,0.7%,26.5%
Gradient_Boosting,60.0%,60.5%,1.3%,26.0%
Random_Forest,58.3%,58.6%,2.0%,18.1%
Extra_Trees,59.2%,59.0%,2.0%,8.0%
Logistic_Regression,57.5%,59.9%,2.8%,3.8%
