date,season,team,team_win
01/07/2020,2020-2021,West Bromwich Albion,West Bromwich Albion
05/07/2020,2020-2021,West Bromwich Albion,West Bromwich Albion
08/07/2020,2020-2021,West Bromwich Albion,West Bromwich Albion
11/07/2020,2020-2021,West Bromwich Albion,Draw
14/07/2020,2020-2021,West Bromwich Albion,Draw
17/07/2020,2020-2021,West Bromwich Albion,Huddersfield Town
22/07/2020,2020-2021,West Bromwich Albion,Draw
05/09/2020,2020-2021,West Bromwich Albion,Draw
13/09/2020,2020-2021,West Bromwich Albion,Leicester City
16/09/2020,2020-2021,West Bromwich Albion,West Bromwich Albion
19/09/2020,2020-2021,West Bromwich Albion,Everton FC
22/09/2020,2020-2021,West Bromwich Albion,Brentford FC
26/09/2020,2020-2021,West Bromwich Albion,Draw
04/10/2020,2020-2021,West Bromwich Albion,Southampton FC
19/10/2020,2020-2021,West Bromwich Albion,Draw
26/10/2020,2020-2021,West Bromwich Albion,Draw
02/11/2020,2020-2021,West Bromwich Albion,Fulham FC
08/11/2020,2020-2021,West Bromwich Albion,Tottenham Hotspur
21/11/2020,2020-2021,West Bromwich Albion,Manchester United
28/11/2020,2020-2021,West Bromwich Albion,West Bromwich Albion
06/12/2020,2020-2021,West Bromwich Albion,Crystal Palace
12/12/2020,2020-2021,West Bromwich Albion,Newcastle United
15/12/2020,2020-2021,West Bromwich Albion,Draw
20/12/2020,2020-2021,West Bromwich Albion,Aston Villa
27/12/2020,2020-2021,West Bromwich Albion,Draw
29/12/2020,2020-2021,West Bromwich Albion,Leeds United
02/01/2021,2020-2021,West Bromwich Albion,Arsenal FC
09/01/2021,2020-2021,West Bromwich Albion,Blackpool FC
16/01/2021,2020-2021,West Bromwich Albion,West Bromwich Albion
19/01/2021,2020-2021,West Bromwich Albion,West Ham United
26/01/2021,2020-2021,West Bromwich Albion,Manchester City
30/01/2021,2020-2021,West Bromwich Albion,Draw
02/02/2021,2020-2021,West Bromwich Albion,Sheffield United
07/02/2021,2020-2021,West Bromwich Albion,Tottenham Hotspur
14/02/2021,2020-2021,West Bromwich Albion,Draw
20/02/2021,2020-2021,West Bromwich Albion,Draw
27/02/2021,2020-2021,West Bromwich Albion,West Bromwich Albion
04/03/2021,2020-2021,West Bromwich Albion,Everton FC
07/03/2021,2020-2021,West Bromwich Albion,Draw
13/03/2021,2020-2021,West Bromwich Albion,Crystal Palace
03/04/2021,2020-2021,West Bromwich Albion,West Bromwich Albion
12/04/2021,2020-2021,West Bromwich Albion,West Bromwich Albion
22/04/2021,2020-2021,West Bromwich Albion,Leicester City
25/04/2021,2020-2021,West Bromwich Albion,Draw
03/05/2021,2020-2021,West Bromwich Albion,Draw
09/05/2021,2020-2021,West Bromwich Albion,Arsenal FC
16/05/2021,2020-2021,West Bromwich Albion,Liverpool FC
19/05/2021,2020-2021,West Bromwich Albion,West Ham United
23/05/2021,2020-2021,West Bromwich Albion,Leeds United
