date,season,team,team_win
01/07/2020,2020-2021,Leicester City,Everton FC
04/07/2020,2020-2021,Leicester City,Leicester City
07/07/2020,2020-2021,Leicester City,Draw
12/07/2020,2020-2021,Leicester City,AFC Bournemouth
16/07/2020,2020-2021,Leicester City,Leicester City
19/07/2020,2020-2021,Leicester City,Tottenham Hotspur
26/07/2020,2020-2021,Leicester City,Manchester United
05/09/2020,2020-2021,Leicester City,Draw
13/09/2020,2020-2021,Leicester City,Leicester City
20/09/2020,2020-2021,Leicester City,Leicester City
23/09/2020,2020-2021,Leicester City,Arsenal FC
27/09/2020,2020-2021,Leicester City,Leicester City
04/10/2020,2020-2021,Leicester City,West Ham United
18/10/2020,2020-2021,Leicester City,Aston Villa
22/10/2020,2020-2021,Leicester City,Leicester City
25/10/2020,2020-2021,Leicester City,Leicester City
29/10/2020,2020-2021,Leicester City,Leicester City
02/11/2020,2020-2021,Leicester City,Leicester City
05/11/2020,2020-2021,Leicester City,Leicester City
08/11/2020,2020-2021,Leicester City,Leicester City
22/11/2020,2020-2021,Leicester City,Liverpool FC
26/11/2020,2020-2021,Leicester City,Draw
30/11/2020,2020-2021,Leicester City,Fulham FC
03/12/2020,2020-2021,Leicester City,Zorya Lugansk
06/12/2020,2020-2021,Leicester City,Leicester City
10/12/2020,2020-2021,Leicester City,Leicester City
13/12/2020,2020-2021,Leicester City,Leicester City
16/12/2020,2020-2021,Leicester City,Everton FC
20/12/2020,2020-2021,Leicester City,Leicester City
26/12/2020,2020-2021,Leicester City,Draw
28/12/2020,2020-2021,Leicester City,Draw
03/01/2021,2020-2021,Leicester City,Leicester City
09/01/2021,2020-2021,Leicester City,Leicester City
16/01/2021,2020-2021,Leicester City,Leicester City
19/01/2021,2020-2021,Leicester City,Leicester City
24/01/2021,2020-2021,Leicester City,Leicester City
27/01/2021,2020-2021,Leicester City,Draw
31/01/2021,2020-2021,Leicester City,Leeds United
03/02/2021,2020-2021,Leicester City,Leicester City
07/02/2021,2020-2021,Leicester City,Draw
10/02/2021,2020-2021,Leicester City,Leicester City
13/02/2021,2020-2021,Leicester City,Leicester City
18/02/2021,2020-2021,Leicester City,Draw
21/02/2021,2020-2021,Leicester City,Leicester City
25/02/2021,2020-2021,Leicester City,Slavia Praha
28/02/2021,2020-2021,Leicester City,Arsenal FC
03/03/2021,2020-2021,Leicester City,Draw
06/03/2021,2020-2021,Leicester City,Leicester City
14/03/2021,2020-2021,Leicester City,Leicester City
21/03/2021,2020-2021,Leicester City,Leicester City
03/04/2021,2020-2021,Leicester City,Manchester City
11/04/2021,2020-2021,Leicester City,West Ham United
18/04/2021,2020-2021,Leicester City,Leicester City
22/04/2021,2020-2021,Leicester City,Leicester City
26/04/2021,2020-2021,Leicester City,Leicester City
30/04/2021,2020-2021,Leicester City,Draw
07/05/2021,2020-2021,Leicester City,Newcastle United
11/05/2021,2020-2021,Leicester City,Leicester City
15/05/2021,2020-2021,Leicester City,Leicester City
18/05/2021,2020-2021,Leicester City,Chelsea FC
23/05/2021,2020-2021,Leicester City,Tottenham Hotspur
