date,season,team,team_win
07/07/2018,2018-2019,Liverpool FC,Liverpool FC
10/07/2018,2018-2019,Liverpool FC,Liverpool FC
14/07/2018,2018-2019,Liverpool FC,Draw
19/07/2018,2018-2019,Liverpool FC,Liverpool FC
22/07/2018,2018-2019,Liverpool FC,Borussia Dortmund
26/07/2018,2018-2019,Liverpool FC,Liverpool FC
28/07/2018,2018-2019,Liverpool FC,Liverpool FC
04/08/2018,2018-2019,Liverpool FC,Liverpool FC
07/08/2018,2018-2019,Liverpool FC,Liverpool FC
12/08/2018,2018-2019,Liverpool FC,Liverpool FC
20/08/2018,2018-2019,Liverpool FC,Liverpool FC
25/08/2018,2018-2019,Liverpool FC,Liverpool FC
01/09/2018,2018-2019,Liverpool FC,Liverpool FC
15/09/2018,2018-2019,Liverpool FC,Liverpool FC
18/09/2018,2018-2019,Liverpool FC,Liverpool FC
22/09/2018,2018-2019,Liverpool FC,Liverpool FC
26/09/2018,2018-2019,Liverpool FC,Chelsea FC
29/09/2018,2018-2019,Liverpool FC,Draw
03/10/2018,2018-2019,Liverpool FC,SSC Napoli
07/10/2018,2018-2019,Liverpool FC,Draw
20/10/2018,2018-2019,Liverpool FC,Liverpool FC
24/10/2018,2018-2019,Liverpool FC,Liverpool FC
27/10/2018,2018-2019,Liverpool FC,Liverpool FC
03/11/2018,2018-2019,Liverpool FC,Draw
06/11/2018,2018-2019,Liverpool FC,Crvena Zvezda
11/11/2018,2018-2019,Liverpool FC,Liverpool FC
24/11/2018,2018-2019,Liverpool FC,Liverpool FC
28/11/2018,2018-2019,Liverpool FC,Paris Saint-Germain
02/12/2018,2018-2019,Liverpool FC,Liverpool FC
05/12/2018,2018-2019,Liverpool FC,Liverpool FC
08/12/2018,2018-2019,Liverpool FC,Liverpool FC
11/12/2018,2018-2019,Liverpool FC,Liverpool FC
16/12/2018,2018-2019,Liverpool FC,Liverpool FC
21/12/2018,2018-2019,Liverpool FC,Liverpool FC
26/12/2018,2018-2019,Liverpool FC,Liverpool FC
29/12/2018,2018-2019,Liverpool FC,Liverpool FC
03/01/2019,2018-2019,Liverpool FC,Manchester City
07/01/2019,2018-2019,Liverpool FC,Wolverhampton Wanderers
12/01/2019,2018-2019,Liverpool FC,Liverpool FC
19/01/2019,2018-2019,Liverpool FC,Liverpool FC
30/01/2019,2018-2019,Liverpool FC,Draw
04/02/2019,2018-2019,Liverpool FC,Draw
09/02/2019,2018-2019,Liverpool FC,Liverpool FC
19/02/2019,2018-2019,Liverpool FC,Draw
24/02/2019,2018-2019,Liverpool FC,Draw
27/02/2019,2018-2019,Liverpool FC,Liverpool FC
03/03/2019,2018-2019,Liverpool FC,Draw
10/03/2019,2018-2019,Liverpool FC,Liverpool FC
13/03/2019,2018-2019,Liverpool FC,Liverpool FC
17/03/2019,2018-2019,Liverpool FC,Liverpool FC
31/03/2019,2018-2019,Liverpool FC,Liverpool FC
05/04/2019,2018-2019,Liverpool FC,Liverpool FC
09/04/2019,2018-2019,Liverpool FC,Liverpool FC
14/04/2019,2018-2019,Liverpool FC,Liverpool FC
17/04/2019,2018-2019,Liverpool FC,Liverpool FC
21/04/2019,2018-2019,Liverpool FC,Liverpool FC
26/04/2019,2018-2019,Liverpool FC,Liverpool FC
01/05/2019,2018-2019,Liverpool FC,FC Barcelona
04/05/2019,2018-2019,Liverpool FC,Liverpool FC
07/05/2019,2018-2019,Liverpool FC,Liverpool FC
12/05/2019,2018-2019,Liverpool FC,Liverpool FC
01/06/2019,2018-2019,Liverpool FC,Liverpool FC
