date,season,team,team_win
21/07/2018,2018-2019,Leicester City,Leicester City
25/07/2018,2018-2019,Leicester City,Draw
28/07/2018,2018-2019,Leicester City,Udinese Calcio
01/08/2018,2018-2019,Leicester City,Draw
04/08/2018,2018-2019,Leicester City,Leicester City
10/08/2018,2018-2019,Leicester City,Manchester United
18/08/2018,2018-2019,Leicester City,Leicester City
25/08/2018,2018-2019,Leicester City,Leicester City
28/08/2018,2018-2019,Leicester City,Leicester City
01/09/2018,2018-2019,Leicester City,Liverpool FC
15/09/2018,2018-2019,Leicester City,AFC Bournemouth
22/09/2018,2018-2019,Leicester City,Leicester City
25/09/2018,2018-2019,Leicester City,Leicester City
29/09/2018,2018-2019,Leicester City,Leicester City
06/10/2018,2018-2019,Leicester City,Everton FC
22/10/2018,2018-2019,Leicester City,Arsenal FC
27/10/2018,2018-2019,Leicester City,Draw
03/11/2018,2018-2019,Leicester City,Leicester City
10/11/2018,2018-2019,Leicester City,Draw
24/11/2018,2018-2019,Leicester City,Draw
27/11/2018,2018-2019,Leicester City,Leicester City
01/12/2018,2018-2019,Leicester City,Leicester City
05/12/2018,2018-2019,Leicester City,Draw
08/12/2018,2018-2019,Leicester City,Tottenham Hotspur
15/12/2018,2018-2019,Leicester City,Crystal Palace
18/12/2018,2018-2019,Leicester City,Manchester City
22/12/2018,2018-2019,Leicester City,Leicester City
26/12/2018,2018-2019,Leicester City,Leicester City
29/12/2018,2018-2019,Leicester City,Cardiff City
01/01/2019,2018-2019,Leicester City,Leicester City
06/01/2019,2018-2019,Leicester City,Newport County
12/01/2019,2018-2019,Leicester City,Southampton FC
19/01/2019,2018-2019,Leicester City,Wolverhampton Wanderers
30/01/2019,2018-2019,Leicester City,Draw
03/02/2019,2018-2019,Leicester City,Manchester United
10/02/2019,2018-2019,Leicester City,Tottenham Hotspur
23/02/2019,2018-2019,Leicester City,Crystal Palace
26/02/2019,2018-2019,Leicester City,Leicester City
03/03/2019,2018-2019,Leicester City,Watford FC
09/03/2019,2018-2019,Leicester City,Leicester City
16/03/2019,2018-2019,Leicester City,Leicester City
30/03/2019,2018-2019,Leicester City,Leicester City
06/04/2019,2018-2019,Leicester City,Leicester City
12/04/2019,2018-2019,Leicester City,Newcastle United
20/04/2019,2018-2019,Leicester City,Draw
28/04/2019,2018-2019,Leicester City,Leicester City
06/05/2019,2018-2019,Leicester City,Manchester City
12/05/2019,2018-2019,Leicester City,Draw
