date,season,team,team_win
07/07/2018,2018-2019,Fulham FC,Fulham FC
14/07/2018,2018-2019,Fulham FC,Draw
18/07/2018,2018-2019,Fulham FC,Fenerbahçe
21/07/2018,2018-2019,Fulham FC,Olympique Lyonnais
28/07/2018,2018-2019,Fulham FC,Fulham FC
28/07/2018,2018-2019,Fulham FC,ACF Fiorentina
01/08/2018,2018-2019,Fulham FC,Sampdoria
04/08/2018,2018-2019,Fulham FC,Draw
11/08/2018,2018-2019,Fulham FC,Crystal Palace
18/08/2018,2018-2019,Fulham FC,Tottenham Hotspur
26/08/2018,2018-2019,Fulham FC,Fulham FC
28/08/2018,2018-2019,Fulham FC,Fulham FC
01/09/2018,2018-2019,Fulham FC,Draw
15/09/2018,2018-2019,Fulham FC,Manchester City
22/09/2018,2018-2019,Fulham FC,Draw
25/09/2018,2018-2019,Fulham FC,Fulham FC
29/09/2018,2018-2019,Fulham FC,Everton FC
07/10/2018,2018-2019,Fulham FC,Arsenal FC
20/10/2018,2018-2019,Fulham FC,Cardiff City
27/10/2018,2018-2019,Fulham FC,AFC Bournemouth
01/11/2018,2018-2019,Fulham FC,Manchester City
05/11/2018,2018-2019,Fulham FC,Huddersfield Town
11/11/2018,2018-2019,Fulham FC,Liverpool FC
24/11/2018,2018-2019,Fulham FC,Fulham FC
02/12/2018,2018-2019,Fulham FC,Chelsea FC
05/12/2018,2018-2019,Fulham FC,Draw
08/12/2018,2018-2019,Fulham FC,Manchester United
15/12/2018,2018-2019,Fulham FC,West Ham United
22/12/2018,2018-2019,Fulham FC,Draw
26/12/2018,2018-2019,Fulham FC,Draw
29/12/2018,2018-2019,Fulham FC,Fulham FC
01/01/2019,2018-2019,Fulham FC,Arsenal FC
06/01/2019,2018-2019,Fulham FC,Oldham Athletic
12/01/2019,2018-2019,Fulham FC,Burnley FC
20/01/2019,2018-2019,Fulham FC,Tottenham Hotspur
29/01/2019,2018-2019,Fulham FC,Fulham FC
02/02/2019,2018-2019,Fulham FC,Crystal Palace
09/02/2019,2018-2019,Fulham FC,Manchester United
22/02/2019,2018-2019,Fulham FC,West Ham United
27/02/2019,2018-2019,Fulham FC,Southampton FC
03/03/2019,2018-2019,Fulham FC,Chelsea FC
09/03/2019,2018-2019,Fulham FC,Leicester City
17/03/2019,2018-2019,Fulham FC,Liverpool FC
30/03/2019,2018-2019,Fulham FC,Manchester City
02/04/2019,2018-2019,Fulham FC,Watford FC
13/04/2019,2018-2019,Fulham FC,Fulham FC
20/04/2019,2018-2019,Fulham FC,Fulham FC
27/04/2019,2018-2019,Fulham FC,Fulham FC
04/05/2019,2018-2019,Fulham FC,Wolverhampton Wanderers
12/05/2019,2018-2019,Fulham FC,Newcastle United
