date,season,team,team_win
10/07/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
14/07/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
19/07/2018,2018-2019,Wolverhampton Wanderers,Draw
22/07/2018,2018-2019,Wolverhampton Wanderers,VfL Bochum
22/07/2018,2018-2019,Wolverhampton Wanderers,Draw
25/07/2018,2018-2019,Wolverhampton Wanderers,Draw
28/07/2018,2018-2019,Wolverhampton Wanderers,Derby County
04/08/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
11/08/2018,2018-2019,Wolverhampton Wanderers,Draw
18/08/2018,2018-2019,Wolverhampton Wanderers,Leicester City
25/08/2018,2018-2019,Wolverhampton Wanderers,Draw
28/08/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
01/09/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
16/09/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
22/09/2018,2018-2019,Wolverhampton Wanderers,Draw
25/09/2018,2018-2019,Wolverhampton Wanderers,Leicester City
29/09/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
06/10/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
20/10/2018,2018-2019,Wolverhampton Wanderers,Watford FC
27/10/2018,2018-2019,Wolverhampton Wanderers,Brighton & Hove Albion
03/11/2018,2018-2019,Wolverhampton Wanderers,Tottenham Hotspur
11/11/2018,2018-2019,Wolverhampton Wanderers,Draw
25/11/2018,2018-2019,Wolverhampton Wanderers,Huddersfield Town
30/11/2018,2018-2019,Wolverhampton Wanderers,Cardiff City
05/12/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
09/12/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
15/12/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
21/12/2018,2018-2019,Wolverhampton Wanderers,Liverpool FC
26/12/2018,2018-2019,Wolverhampton Wanderers,Draw
29/12/2018,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
02/01/2019,2018-2019,Wolverhampton Wanderers,Crystal Palace
07/01/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
14/01/2019,2018-2019,Wolverhampton Wanderers,Manchester City
19/01/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
26/01/2019,2018-2019,Wolverhampton Wanderers,Draw
29/01/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
02/02/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
05/02/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
11/02/2019,2018-2019,Wolverhampton Wanderers,Draw
17/02/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
23/02/2019,2018-2019,Wolverhampton Wanderers,Draw
26/02/2019,2018-2019,Wolverhampton Wanderers,Huddersfield Town
02/03/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
10/03/2019,2018-2019,Wolverhampton Wanderers,Draw
16/03/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
30/03/2019,2018-2019,Wolverhampton Wanderers,Burnley FC
02/04/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
07/04/2019,2018-2019,Wolverhampton Wanderers,Watford FC
13/04/2019,2018-2019,Wolverhampton Wanderers,Southampton FC
20/04/2019,2018-2019,Wolverhampton Wanderers,Draw
24/04/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
27/04/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
04/05/2019,2018-2019,Wolverhampton Wanderers,Wolverhampton Wanderers
12/05/2019,2018-2019,Wolverhampton Wanderers,Liverpool FC
